,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
302,Marcel Sabitzer,17(6),1473,-,-,2,-,0.7,85.6,0.8,-,6.41
303,Yan Couto,8(12),885,-,-,5,-,0.3,85.2,0.1,-,6.41
304,Luca Jaquez,1(1),87,-,-,-,-,-,86.4,0.5,-,6.41
305,Arthur,7(10),634,-,1,-,-,0.1,82.5,0.5,-,6.40
306,Justin Njinmah,10(13),924,3,2,1,-,1.3,65.1,0.7,-,6.40
307,Jonas Föhrenbach,22(4),1821,-,1,3,-,0.3,74.9,0.5,-,6.40
308,Farès Chaïbi,9(14),908,1,1,2,-,1,74.6,0.6,-,6.40
309,Oliver Burke,7(16),730,5,-,4,-,1.3,60.6,1.5,1,6.40
310,Johan Manzambi,1(7),136,1,1,1,-,1.1,81.3,0.4,-,6.40
311,Jonas Hofmann,3(6),275,1,1,1,-,0.9,89.9,-,-,6.40
312,Paul Wanner,18(9),1604,3,1,2,-,0.9,76.4,0.4,-,6.40
313,Yorbe Vertessen,7(10),718,1,-,2,-,1.6,70.1,0.4,1,6.39
314,Jonah Kusi-Asare,0(1),2,-,-,-,-,1,100,1,-,6.39
315,Max Rosenfelder,10(12),1034,1,-,1,-,0.2,87.9,0.4,1,6.39
316,Marnon Busch,14(7),1298,-,1,1,-,0.6,76.2,0.5,-,6.39
317,Leonardo Bittencourt,10(14),937,2,1,3,-,1.1,86.8,0.3,-,6.39
318,Myron Boadu,9(7),798,5,1,2,-,1.1,71.5,0.6,2,6.39
319,Nediljko Labrovic,15,1350,-,-,-,-,-,65.6,0.5,-,6.38
