,TotPs,AccLB,InAccLB,AccSP,InAccSP,TotKPs,LKPs,SKPs,TotAss,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss
378,15.9,0.1,0.1,13.9,1.7,0.4,-,0.4,-,-,-,-,-,-,-
379,15.9,0.4,0.5,12.8,2.1,0.1,-,0.1,-,-,-,-,-,-,-
380,17.2,1.2,1.6,11.2,3.3,0.6,0.1,0.5,-,-,-,-,-,-,-
381,15.7,0.2,0.3,12.3,2.9,0.5,-,0.5,0.1,-,-,-,-,-,0.1
382,13.3,0.3,-,11,2,0.3,-,0.3,-,-,-,-,-,-,-
383,43,2.2,2.7,36.1,2,0.1,-,0.1,-,-,-,-,-,-,-
384,7.3,0.3,-,6.7,0.3,0.7,-,0.7,0.3,-,-,-,-,-,0.3
385,26.9,1.4,1.3,21.9,2.3,0.4,0.1,0.3,0.1,-,-,-,-,-,0.1
386,8.2,0.1,0.1,6.1,2,0.4,-,0.4,0.1,-,-,-,-,-,-
387,6,-,0.1,5.2,0.7,0.3,-,0.3,-,-,-,-,-,-,-
388,22.8,1,0.8,19.8,1.2,-,-,-,-,-,-,-,-,-,-
389,4,-,-,3,1,-,-,-,-,-,-,-,-,-,-
390,5.5,-,-,4.5,1,-,-,-,-,-,-,-,-,-,-
391,16.3,-,2,12.3,2,0.7,-,0.7,-,-,-,-,-,-,-
392,13.1,0.1,0.4,11.1,1.4,0.3,-,0.3,-,-,-,-,-,-,-
393,33.8,1.5,2.2,28,2.2,0.2,-,0.2,-,-,-,-,-,-,-
394,14.1,0.4,0.4,12,1.4,0.6,0.3,0.4,-,-,-,-,-,-,-
395,6.4,0.1,0.2,4.7,1.4,0.1,-,0.1,-,-,-,-,-,-,-
396,13.8,0.4,0.7,10.3,2.3,0.2,0.1,0.1,-,-,-,-,-,-,-
397,5.8,-,0.4,4.1,1.3,0.4,-,0.4,-,-,-,-,-,-,-
398,12.5,0.3,-,9.6,2.6,0.6,0.3,0.3,-,-,-,-,-,-,-
399,33.3,1.8,0.9,26.4,4.2,0.8,0.2,0.5,-,-,-,-,-,-,-
400,7.8,0.2,0.2,5.2,2.2,0.4,-,0.4,-,-,-,-,-,-,-
