,TotPs,AccLB,InAccLB,AccSP,InAccSP,TotKPs,LKPs,SKPs,TotAss,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss
116,21.8,1.4,3.6,11.9,5,0.6,0.2,0.4,-,-,-,-,-,-,-
117,28,0.6,0.6,22.8,4,1.1,0.1,1,-,-,-,-,-,-,-
118,37.2,2.3,4.1,28.7,2.1,0.1,0.1,-,-,-,-,-,-,-,-
119,23.6,1.3,0.3,19.7,2.3,1.2,0.2,1,0.1,-,-,-,-,-,0.1
120,26.4,1.3,2.5,19.4,3.2,0.3,0.1,0.2,-,-,-,-,-,-,-
121,39.2,0.9,1.2,33.9,3.2,0.7,-,0.7,0.1,-,-,-,-,-,0.1
122,27.8,2.2,1.4,20.8,3.5,1.4,0.8,0.7,0.2,0.1,-,-,-,-,-
123,39.4,1.2,1,33.7,3.6,1.4,0.3,1.1,0.2,0.1,-,-,-,-,0.1
124,22.2,0.4,0.3,16.3,5.2,1,-,1,0.1,-,-,-,-,-,-
125,26.7,0.4,0.2,23.5,2.6,0.8,0.2,0.7,0.1,0.1,-,-,-,-,-
126,17.7,0.5,0.4,12.7,4,0.8,0.2,0.6,0.1,0.1,-,-,-,-,-
127,26.5,2,3,21.3,0.2,-,-,-,-,-,-,-,-,-,-
128,40.8,1.9,0.7,34.9,3.3,0.2,-,0.2,0.1,-,-,-,-,-,0.1
129,28,1.1,0.5,22.4,4,1,-,0.9,0.1,-,-,-,-,-,-
130,29,1.7,0.9,20.2,6.2,1.2,0.2,1,0.1,-,-,-,-,-,-
131,45,1,0.8,39.4,3.8,1.1,0.1,1,0.1,-,-,-,-,-,0.1
132,17.9,0.8,1.6,12.1,3.4,1.3,0.8,0.5,0.1,0.1,0.1,-,0.1,-,-
133,10.7,0.7,0.7,8.3,1,0.3,0.3,-,-,-,-,-,-,-,-
134,42.6,0.9,0.7,38.6,2.4,0.2,-,0.2,0.1,-,-,-,-,-,0.1
135,15,-,-,11,4,1,-,1,1,-,-,-,-,-,1
136,22.6,1,1.8,16.2,3.6,0.5,-,0.5,-,-,-,-,-,-,-
137,14.9,0.2,0.1,11.1,3.5,0.4,-,0.4,-,-,-,-,-,-,-
138,33.3,0.5,0.9,27.7,4.1,0.7,0.1,0.7,0.1,0.1,-,-,-,-,-
139,22.4,0.1,0.3,17.6,4.4,0.7,0.1,0.6,0.2,0.1,-,-,-,-,0.1
140,16.3,0.5,0.9,11.6,3.3,0.7,0.2,0.5,0.1,0.1,-,-,-,-,-
