,TotPs,AccLB,InAccLB,AccSP,InAccSP,TotKPs,LKPs,SKPs,TotAss,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss
35,41.7,1.1,0.9,34.3,5.4,0.8,0.1,0.7,0.1,-,-,-,-,-,0.1
36,33.4,1.1,2.2,25,5,0.8,0.1,0.7,0.1,-,-,-,-,-,0.1
37,71.6,4.4,2.7,61,3.5,0.2,0.1,0.1,0.1,-,-,-,-,-,-
38,61.3,3.1,3.1,50.5,4.5,0.7,0.1,0.6,0.1,-,-,-,-,-,0.1
39,33.3,1.5,1.1,28.2,2.5,0.2,-,0.2,-,-,-,-,-,-,-
40,27,9,4,14,-,-,-,-,-,-,-,-,-,-,-
41,53.8,2.9,1.5,44.1,5.3,1,0.1,0.9,-,-,-,-,-,-,-
42,31.2,1.1,1.1,25.1,3.9,1.6,0.6,1,0.2,0.1,-,-,-,-,0.1
43,29.7,0.7,0.6,25.1,3.3,1.8,0.5,1.3,0.1,-,-,-,-,-,-
44,25,3,6,16,-,-,-,-,-,-,-,-,-,-,-
45,27.5,1.5,0.6,22.3,3.1,1.7,0.3,1.3,0.1,-,-,-,-,-,0.1
46,27,0.8,0.5,22.5,3.3,1.5,0.2,1.3,0.1,-,-,-,-,-,-
47,27.5,3,2,19,3.5,0.5,0.5,-,-,-,-,-,-,-,-
48,27.9,1.2,0.8,22.1,3.8,0.9,0.1,0.8,0.2,-,-,-,-,-,0.2
49,14.8,0.1,-,7.2,7.5,0.3,-,0.3,0.1,-,-,-,-,-,0.1
50,33.4,1.9,2.2,26.9,2.4,-,-,-,-,-,-,-,-,-,-
51,40.6,1,1.4,34.7,3.6,1.5,0.3,1.2,0.1,0.1,-,-,-,-,-
52,49.8,1.5,1.5,40.8,5.9,1.1,0.1,1,0.1,-,-,-,-,-,-
53,38,1.7,2.2,29.3,4.8,1,0.2,0.8,0.2,0.1,-,-,-,-,0.1
54,22,4,4,14,-,-,-,-,-,-,-,-,-,-,-
55,55.2,1.8,2.5,47.6,3.4,0.3,0.1,0.3,0.1,-,-,-,-,-,0.1
56,21.5,0.6,0.6,16,4.3,0.8,-,0.7,0.1,-,-,-,-,-,-
57,60.9,4.2,2.9,51.2,2.6,0.8,0.1,0.7,0.1,-,-,-,-,-,0.1
58,49.3,1.7,1.7,41.8,4,0.3,-,0.3,0.1,-,-,-,-,-,0.1
59,45.7,1.1,0.8,40.1,3.8,0.9,-,0.9,-,-,-,-,-,-,-
