,TotTkl,DribPast,AttTkl,Intercpt,Fouled,Fouls,COF,Clr,BlkSh,BlkCr,BlkPs,TotSav,OOBSav,SYBSav,PASav
450,1.4,0.6,2,0.4,0.1,0.7,-,1.5,0.1,0.1,0.4,-,-,-,-
451,0.4,0.2,0.6,0.1,1.1,0.5,0.3,0.4,-,-,0.2,-,-,-,-
452,0.2,0.2,0.4,-,0.5,0.7,-,0.2,-,0.1,0.5,-,-,-,-
453,1.3,0.7,2,0.2,0.6,0.6,0.1,0.7,0.2,0.1,0.6,-,-,-,-
454,0.9,0.4,1.4,0.6,0.9,0.9,0.1,1.4,0.1,0.4,1.2,-,-,-,-
455,0.1,0.1,0.2,-,0.4,0.4,0.2,0.4,-,-,0.3,-,-,-,-
456,-,0.4,0.4,-,-,-,-,1.2,-,-,-,3.2,0.2,2,1
457,1.2,0.7,1.8,0.8,1,0.2,-,1.5,0.3,-,0.3,-,-,-,-
458,0.2,-,0.2,0.1,0.5,0.7,0.3,0.3,0.1,-,0.2,-,-,-,-
459,0.7,0.4,1.1,0.3,1.1,0.2,0.1,0.5,0.2,0.2,0.4,-,-,-,-
460,-,1,1,0.5,-,0.5,-,0.5,1.5,-,-,-,-,-,-
461,0.8,0.2,1,0.1,0.3,0.6,-,0.3,-,-,0.2,-,-,-,-
462,0.1,0.1,0.3,0.1,2.4,0.9,0.1,-,-,-,0.4,-,-,-,-
463,0.6,0.6,1.1,0.1,1.3,0.6,0.1,0.3,-,0.1,0.4,-,-,-,-
464,-,-,-,-,0.2,1,0.3,0.1,-,-,0.1,-,-,-,-
465,-,-,-,-,-,1,-,1,-,-,1,-,-,-,-
466,0.5,0.4,0.9,0.1,0.7,0.8,0.1,0.1,-,-,0.3,-,-,-,-
467,0.1,0.1,0.3,-,0.5,0.7,-,0.5,-,-,0.2,-,-,-,-
468,0.9,0.7,1.6,0.6,0.5,0.7,-,0.9,0.2,-,0.3,-,-,-,-
469,0.3,0.2,0.5,-,0.8,0.8,0.1,0.1,0.1,-,0.3,-,-,-,-
470,0.6,0.4,1,-,0.3,0.4,-,1.1,0.1,0.3,-,-,-,-,-
471,0.4,0.1,0.5,0.1,0.5,0.2,-,-,-,0.1,0.2,-,-,-,-
472,1.2,0.2,1.4,0.2,0.2,0.8,-,0.6,-,-,0.8,-,-,-,-
473,1.4,0.5,1.9,0.8,0.6,0.9,0.2,1.8,0.4,0.1,0.2,-,-,-,-
474,0.8,0.6,1.3,0.4,0.7,0.7,-,0.6,-,0.1,0.6,-,-,-,-
475,0.7,0.4,1,0.4,0.5,0.8,-,0.6,0.2,0.1,0.6,-,-,-,-
476,0.7,-,0.7,-,0.9,0.1,-,0.4,-,-,0.3,-,-,-,-
477,1.1,0.2,1.2,0.5,0.3,0.5,-,1.9,0.2,0.2,0.4,-,-,-,-
478,0.7,0.1,0.8,0.4,0.3,0.5,0.1,0.6,-,-,0.3,-,-,-,-
479,0.3,0.4,0.7,0.6,0.1,0.4,-,2.1,0.3,-,-,-,-,-,-
480,1.3,0.4,1.7,0.3,0.1,0.9,-,1,-,0.1,0.4,-,-,-,-
481,0.7,0.3,1,-,-,0.3,-,-,-,-,-,-,-,-,-
482,0.5,0.1,0.7,0.1,0.9,0.5,0.1,0.3,-,-,0.2,-,-,-,-
483,2,-,2,-,-,0.7,-,1.3,-,0.3,0.3,-,-,-,-
484,0.8,0.6,1.3,0.1,0.3,0.5,-,0.3,0.2,-,0.2,-,-,-,-
485,0.1,0.3,0.4,0.1,0.6,0.4,0.1,0.1,-,-,0.1,-,-,-,-
486,0.2,-,0.2,-,1,0.2,0.2,-,-,-,0.2,-,-,-,-
487,1.3,-,1.3,0.2,0.2,0.7,-,0.8,0.3,-,0.2,-,-,-,-
488,0.8,0.2,1,0.6,0.4,0.8,-,0.2,-,0.2,0.4,-,-,-,-
489,1.1,0.4,1.5,0.4,0.3,1.1,-,0.5,0.1,0.1,0.1,-,-,-,-
490,1.1,0.7,1.8,0.2,0.1,0.8,0.2,1.2,0.3,0.1,0.4,-,-,-,-
491,1,0.1,1.1,0.3,0.7,0.4,-,0.8,0.3,-,0.6,-,-,-,-
