,TotTkl,DribPast,AttTkl,Intercpt,Fouled,Fouls,COF,Clr,BlkSh,BlkCr,BlkPs,TotSav,OOBSav,SYBSav,PASav
90,2.1,0.6,2.7,1.2,0.3,1.3,0.1,2.1,0.3,0.3,0.4,-,-,-,-
91,1.3,0.6,1.9,0.2,2.1,1.3,0.7,0.3,-,-,0.8,-,-,-,-
92,1.5,1.1,2.6,0.4,0.3,0.6,0.2,0.9,-,0.1,0.6,-,-,-,-
93,0.5,0.2,0.7,-,1.6,1.1,0.6,0.7,-,-,0.3,-,-,-,-
94,0.9,0.1,1,0.1,0.4,0.1,0.1,0.3,-,0.1,0.3,-,-,-,-
95,1.9,0.5,2.5,1.2,0.7,0.7,0.1,2.9,0.2,0.3,0.9,-,-,-,-
96,0.5,0.4,1,0.1,0.8,0.9,0.5,0.7,0.1,-,0.4,-,-,-,-
97,-,-,-,-,0.1,-,-,0.5,-,-,-,2.9,0.2,1.6,1.1
98,-,-,-,-,0.3,-,-,1.4,-,-,-,3.2,0.3,2.2,0.8
99,0.9,0.6,1.4,0.1,0.4,0.9,0.3,0.3,-,-,0.3,-,-,-,-
100,0.7,0.8,1.5,0.3,0.8,0.8,0.2,0.3,-,-,0.5,-,-,-,-
101,1,0.5,1.5,0.8,0.4,0.8,0.1,5.2,0.7,0.1,0.3,-,-,-,-
102,0.8,0.8,1.5,0.1,0.8,0.4,-,0.1,-,-,0.2,-,-,-,-
103,3.7,1,4.7,1.2,1.2,1.5,-,0.9,0.3,-,1.1,-,-,-,-
104,1.8,0.8,2.6,1,1.1,0.7,0.1,2.9,0.4,0.3,0.7,-,-,-,-
105,3.5,1.2,4.7,0.6,0.9,0.7,0.1,2,0.5,0.1,1.1,-,-,-,-
106,-,-,0.1,-,0.2,-,-,1.4,-,-,-,2.9,0.3,1.7,0.9
107,2.6,0.7,3.3,1.8,0.8,1.4,-,2.1,0.4,0.2,0.8,-,-,-,-
108,0.8,0.4,1.2,0.3,0.7,0.6,0.2,0.4,0.1,0.1,0.6,-,-,-,-
109,3,0.5,3.5,1.6,0.5,1,0.2,2.9,0.4,0.1,0.3,-,-,-,-
110,1.9,0.5,2.4,1.1,0.6,1.2,0.1,1.7,0.1,0.3,0.4,-,-,-,-
111,1.2,0.6,1.8,0.5,0.8,1.3,0.1,2.4,0.6,-,0.6,-,-,-,-
112,1.3,0.6,1.9,0.5,0.8,1.4,0.3,0.9,0.2,0.1,0.5,-,-,-,-
113,1,0.3,1.3,1.3,0.6,0.7,-,5.9,0.9,0.1,0.3,-,-,-,-
114,0.5,0.4,0.9,0.4,1.2,0.2,0.1,0.3,-,-,0.4,-,-,-,-
115,1.5,0.4,1.9,1.2,1.4,0.8,-,2.8,0.3,0.2,0.7,-,-,-,-
116,1.3,0.3,1.6,0.9,0.5,0.3,-,6.6,0.8,0.1,0.3,-,-,-,-
117,1.2,0.4,1.6,0.4,0.4,0.8,0.2,1,-,-,0.2,-,-,-,-
118,0.5,-,0.5,0.5,0.8,0.3,-,4.1,0.9,0.2,0.2,-,-,-,-
119,2.1,0.5,2.6,0.5,1,1.1,0.4,1.5,0.1,0.1,0.8,-,-,-,-
120,1,0.3,1.3,0.2,1,0.6,0.4,0.8,0.1,0.1,0.4,-,-,-,-
121,1.7,0.9,2.6,0.7,0.9,0.8,0.1,0.8,0.2,-,0.7,-,-,-,-
122,0.7,0.5,1.2,0.1,0.6,0.5,0.3,0.4,-,0.1,0.4,-,-,-,-
123,-,-,-,-,0.2,0.1,-,2.1,-,-,-,3.1,0.1,1.9,1.1
124,0.9,0.3,1.2,0.3,1,1,0.4,0.5,0.2,-,0.4,-,-,-,-
125,-,0.1,0.1,0.1,0.2,-,-,0.7,-,-,-,2.3,0.2,1.6,0.6
126,0.9,0.6,1.5,0.9,0.3,1,-,4.7,1,0.2,0.6,-,-,-,-
127,0.8,0.6,1.4,0.3,1.2,0.7,0.2,0.4,-,0.1,0.8,-,-,-,-
128,2,0.3,2.3,0.7,1,1.1,0.2,1.4,0.1,0.1,0.5,-,-,-,-
129,0.5,0.4,0.9,0.2,1,0.2,0.4,0.6,-,0.2,0.3,-,-,-,-
130,-,-,0.1,-,-,-,-,1.4,-,-,-,2.3,0.2,1.3,0.8
131,3.3,1.3,4.6,1.3,0.8,1.7,-,1.3,0.3,0.2,0.9,-,-,-,-
132,1.4,0.7,2.1,1,1.3,1.1,0.1,0.9,0.3,0.1,0.6,-,-,-,-
133,1.8,0.7,2.6,1.1,0.9,0.6,0.1,4,0.3,0.3,0.4,-,-,-,-
134,1.8,0.4,2.2,0.8,0.8,0.7,-,4.6,0.7,0.1,1,-,-,-,-
135,3,1,4,1,0.7,1.5,0.1,2.7,0.7,0.2,1.1,-,-,-,-
136,1.6,0.5,2.1,1,0.2,0.4,-,6.3,0.8,0.1,0.5,-,-,-,-
137,0.3,0.2,0.5,0.2,0.9,0.8,0.3,0.4,0.1,-,0.3,-,-,-,-
138,2.1,0.6,2.7,0.9,0.4,0.6,0.2,2.5,0.1,0.2,0.7,-,-,-,-
139,3,1.1,4,1,0.6,1.1,0.1,2.2,0.3,0.3,0.7,-,-,-,-
140,0.6,0.1,0.7,0.2,0.6,0.3,0.1,0.3,-,0.1,0.2,-,-,-,-
141,1.9,0.6,2.4,0.6,0.4,1.4,-,2.1,-,-,1.3,-,-,-,-
142,0.8,0.4,1.2,0.2,0.8,0.4,0.1,0.4,-,-,0.6,-,-,-,-
