,TotTkl,DribPast,AttTkl,Intercpt,Fouled,Fouls,COF,Clr,BlkSh,BlkCr,BlkPs,TotSav,OOBSav,SYBSav,PASav
128,2.2,0.5,2.7,1,0.2,1,0.1,6.1,0.7,0.1,0.4,-,-,-,-
129,1.9,0.5,2.4,1.4,1,0.4,-,4.5,0.5,0.1,0.9,-,-,-,-
130,1,0.3,1.3,0.9,0.6,1.5,-,3.1,0.6,0.1,0.4,-,-,-,-
131,1.9,0.6,2.4,1.1,0.1,0.9,0.1,1.7,0.2,0.3,0.4,-,-,-,-
132,0.1,-,0.1,-,0.2,-,-,0.6,-,-,-,2.7,0.2,1.7,0.8
133,1.1,0.5,1.5,0.9,0.5,1.4,0.1,5.2,1.4,0.1,0.4,-,-,-,-
134,1,0.9,1.9,0.5,2.2,0.8,-,0.7,-,-,0.6,-,-,-,-
135,1.9,0.7,2.6,1,0.6,1.3,-,4.4,0.4,-,0.6,-,-,-,-
136,2,0.5,2.5,0.4,0.8,0.8,-,6.2,0.7,0.3,0.5,-,-,-,-
137,1,0.4,1.4,1.1,1.2,0.7,0.2,1.8,0.5,0.5,1.1,-,-,-,-
138,1,0.4,1.4,0.3,0.9,1,0.4,1,0.1,0.1,0.5,-,-,-,-
139,2.2,1.2,3.4,0.9,0.8,1,0.1,0.9,0.1,-,0.6,-,-,-,-
140,1.4,0.3,1.7,1.1,0.4,0.8,-,5.6,1,0.1,0.5,-,-,-,-
141,1.6,0.5,2.1,0.6,0.9,1,-,2.2,0.3,0.1,0.4,-,-,-,-
142,1.6,0.4,2,0.4,0.3,0.6,-,0.8,0.1,0.1,0.2,-,-,-,-
143,1.5,0.6,2.1,0.3,2.5,0.8,0.1,0.4,-,0.1,0.8,-,-,-,-
144,1.7,0.7,2.4,0.7,0.7,0.7,-,0.7,0.2,0.1,1,-,-,-,-
145,2.3,0.9,3.2,0.9,1,0.9,0.3,1.5,0.2,-,1.3,-,-,-,-
146,0.9,0.3,1.1,1.4,1.1,0.6,-,3.6,0.7,-,0.7,-,-,-,-
147,0.7,1.2,1.9,0.5,1.8,0.5,0.2,0.9,0.2,-,0.5,-,-,-,-
148,1.7,0.5,2.2,1.4,1,1,-,4.1,0.9,0.2,0.9,-,-,-,-
149,1.9,0.7,2.6,1.3,0.5,1.5,-,1.1,0.3,0.1,0.9,-,-,-,-
150,1.3,0.6,1.8,0.3,0.7,0.4,-,0.2,-,-,0.7,-,-,-,-
151,1.3,0.3,1.6,1,0.4,1.1,-,4.2,0.8,-,0.2,-,-,-,-
152,0.7,0.4,1.1,0.4,1.8,0.9,-,1.4,0.2,0.1,0.6,-,-,-,-
153,2.5,0.3,2.8,0.9,0.7,0.8,-,2.6,0.3,0.1,0.7,-,-,-,-
154,0.9,0.4,1.3,0.9,0.9,1.4,-,4.3,1,0.1,0.5,-,-,-,-
155,0.3,0.2,0.6,0.2,0.8,1.2,0.2,0.6,0.1,0.1,0.3,-,-,-,-
156,1.3,0.7,2,0.7,0.9,1.1,0.1,0.5,0.1,0.1,0.5,-,-,-,-
157,1.9,0.4,2.3,1.4,0.6,0.8,-,4.8,1.3,0.3,0.8,-,-,-,-
158,0.4,0.2,0.5,0.1,1.6,0.9,0.2,1,-,-,0.5,-,-,-,-
159,1.9,0.9,2.8,1.5,1,0.5,-,2.4,0.3,0.6,0.6,-,-,-,-
160,1.3,0.4,1.7,0.9,0.3,1.1,-,4.9,0.6,0.1,0.1,-,-,-,-
161,0.9,0.7,1.6,0.5,1.6,0.7,0.3,0.3,-,0.1,0.6,-,-,-,-
162,0.7,0.1,0.8,0.3,1.3,0.5,-,0.1,-,-,0.5,-,-,-,-
163,1.7,0.5,2.1,1,0.5,0.4,-,5.8,1,0.4,0.6,-,-,-,-
164,-,-,-,0.1,0.1,-,-,0.6,-,-,0.1,1.8,0.1,1,0.7
165,1.8,0.8,2.5,1.3,0.8,0.8,-,4.5,0.4,0.2,0.5,-,-,-,-
166,1.4,0.6,2,0.6,0.4,1.1,0.1,0.7,0.2,0.1,1.3,-,-,-,-
167,2,-,2,-,1,1,-,4,2,1,-,-,-,-,-
168,2.1,0.8,3,0.8,0.3,0.4,0.1,1.7,0.1,-,0.8,-,-,-,-
169,1.6,0.6,2.2,0.4,0.9,0.8,-,0.1,-,-,0.4,-,-,-,-
170,2.5,0.9,3.4,1.6,1.5,0.8,-,2,0.4,-,1,-,-,-,-
171,-,-,0.1,-,0.1,-,-,0.7,-,-,-,2.1,0.2,1.2,0.7
172,1.2,0.4,1.5,0.6,0.5,0.6,-,4.1,0.9,0.1,0.7,-,-,-,-
173,0.5,0.3,0.8,0.2,1.6,0.5,0.4,0.2,-,0.1,0.6,-,-,-,-
174,2,0.3,2.3,1.1,1.5,1.6,0.2,1.7,0.5,0.1,0.5,-,-,-,-
175,2.2,1,3.2,1.3,1,1.9,-,1.2,0.5,-,0.8,-,-,-,-
176,0.2,0.1,0.2,-,0.2,-,-,1.1,-,-,-,3.5,0.1,2.5,1
177,1,0.9,1.9,0.3,0.7,1,0.4,0.5,-,0.1,0.8,-,-,-,-
178,0.9,0.5,1.4,0.6,0.8,0.6,0.1,0.2,0.1,-,0.7,-,-,-,-
179,0.9,0.6,1.5,0.2,2.1,0.5,-,0.1,-,-,0.7,-,-,-,-
