,UnDrib,SucDrib,TotDrib
592,0.7,-,0.7
593,0.5,-,0.5
594,0.2,0.2,0.4
595,-,-,-
596,-,-,-
597,0.5,-,0.5
598,0.4,0.2,0.6
599,-,-,-
600,-,-,-
601,-,-,-
602,-,-,-
603,-,-,-
604,-,-,-
605,-,-,-
606,-,-,-
607,0.2,0.3,0.5
608,-,-,-
609,0.1,0.3,0.4
610,1,-,1
611,-,-,-
612,-,-,-
613,-,-,-
614,-,-,-
615,1,-,1
616,-,-,-
617,-,-,-
618,-,-,-
619,-,-,-
620,-,-,-
621,-,-,-
622,-,-,-
623,0.4,0.1,0.5
624,-,-,-
