,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
425,Tyronne Ebuehi,0(3),63,-,-,-,-,-,64,1,-,6.31
426,Florinel Coman,2(6),246,1,-,1,-,0.5,82.7,0.5,-,6.31
427,Antoine Bernede,6(4),488,1,-,2,-,0.4,76.1,0.5,-,6.31
428,Grigoris Kastanos,8(17),850,1,1,3,-,0.9,72.9,0.6,-,6.31
429,Samuel Iling-Junior,0(7),113,1,-,-,-,0.6,77.9,-,1,6.30
430,Noah Okafor,0(4),36,-,-,-,-,0.3,71.4,0.5,-,6.30
431,Jean-Daniel Akpa Akpro,8(2),612,-,-,3,-,-,78.9,0.8,-,6.30
432,Francesco Zampano,17(5),1614,1,2,5,-,0.3,76.9,0.5,-,6.30
433,Pawel Dawidowicz,22(2),1685,-,-,6,1,0.2,84,1.3,-,6.30
434,Giorgio Scalvini,4(2),274,-,-,2,-,0.7,84.5,1.3,-,6.29
435,Oussama El Azzouzi,0(1),7,-,-,-,-,-,75,-,-,6.29
436,Lucas Gourna-Douath,2(2),189,-,-,2,-,0.5,91.3,-,-,6.29
437,Ivan Ilic,8(8),797,1,-,4,-,0.6,87.2,0.3,-,6.28
438,Stefano Sensi,2(7),226,1,-,-,-,0.7,89.3,0.2,-,6.28
439,Isaak Touré,11(1),738,1,-,2,2,0.3,92.5,0.6,-,6.28
440,Konan N’Dri,0(8),193,-,-,-,-,1,82.9,0.1,-,6.28
441,Gianluca Caprari,14(16),1359,2,1,3,-,0.8,87,0.1,-,6.28
442,Michael Kayode,1(4),124,-,-,-,-,0.2,70.2,0.4,-,6.27
443,Antoine Makoumbou,23(6),1886,-,1,1,1,0.2,89.5,0.1,1,6.27
444,Patric,6(5),605,1,-,3,-,0.2,89.2,0.7,-,6.27
445,Simone Scuffet,13,1170,-,-,-,-,-,66.6,0.2,1,6.27
446,Cheick Conde,1(6),106,-,-,2,-,0.1,76.7,0.9,-,6.26
447,Milan Djuric,3(3),231,-,-,1,-,0.7,47.7,3.8,-,6.26
448,Ridgeciano Haps,12(9),1199,-,-,3,-,0.6,81.2,0.6,-,6.26
449,Thijs Dallinga,9(19),950,2,-,1,-,1,72.6,1.4,-,6.26
450,Flavius Daniliuc,8(8),906,-,-,-,-,0.3,85.3,1.1,-,6.26
451,Andrea Belotti,7(11),589,2,-,1,-,1.1,78.3,1.1,-,6.26
452,Tijjani Noslin,8(21),835,2,2,2,-,0.6,78,0.9,-,6.26
453,Gaetano Castrovilli,5(4),467,-,-,-,-,0.7,81,0.1,-,6.26
454,Woyo Coulibaly,12(2),1085,-,1,1,1,0.2,88.4,0.6,-,6.26
