,TotPs,AccLB,InAccLB,AccSP,InAccSP
379,22.5,0.8,1.5,16.9,3.2
380,22.8,1.3,0.5,17.4,3.6
381,40.5,1.9,1.4,33.1,4.1
382,26.1,1.9,2.5,18.9,2.8
383,13.4,0.4,0.3,11.6,1.1
384,19.4,0.8,1.3,14.1,3.2
385,24.8,1.2,2.2,18.6,2.8
386,14.3,0.5,1.1,9,3.6
387,6.3,0.1,-,4.5,1.7
388,20.6,1.2,0.6,16.4,2.4
389,42.4,2.8,1.7,34.1,3.7
390,28.1,2.3,3.3,19.7,2.9
391,24.6,1.5,1.2,19,3
392,26.6,1.1,1.6,20.8,3.2
393,19.3,0.6,0.8,15.3,2.6
394,37.4,1.9,2.1,29.9,3.5
395,24.3,1.3,2.6,16.6,3.7
396,24,1,0.4,20.2,2.4
397,42.5,1.5,2.3,35.8,3
398,19.4,0.5,0.5,16.7,1.8
399,17,0.8,0.8,12.2,3.3
400,17.4,0.8,0.7,12.9,2.9
401,45,3,1.5,38,2.5
402,12.1,0.3,0.4,9.9,1.5
403,9.2,0.3,0.4,6.3,2.1
404,13,0.2,0.3,10.4,2.1
405,32.7,6.4,6.3,20,-
406,27.1,1.1,1.4,21.9,2.7
407,29,-,-,24,5
408,18.7,1,1.9,12.9,3
409,16.5,1.5,1.2,12.5,1.4
410,29.5,3.5,0.3,25.3,0.5
411,25.3,1.3,1.6,18.5,3.8
412,9.6,0.3,0.5,7.3,1.4
413,7,0.1,0.2,6,0.7
414,13.9,0.3,-,11.8,1.8
415,22.6,1.5,2.1,17,2.1
416,9.7,0.1,0.1,7.1,2.2
417,8.3,0.1,0.2,6.6,1.4
418,12.1,0.1,0.2,10.2,1.7
419,13.3,0.9,0.9,9.7,1.9
420,18.6,0.2,0.3,16.5,1.6
421,26,4,4,17.5,0.5
422,27,0.3,0.7,23,3
423,30.2,1.1,0.6,26.1,2.6
424,17.3,0.5,0.3,14,2.5
425,8.3,-,0.3,5.3,2.7
426,9.4,0.1,0.1,7.6,1.5
427,18.8,1.1,1,13.2,3.5
428,11.5,0.6,0.5,7.8,2.6
