,TotTkl,DribPast,TotAttTkl
252,0.5,0.1,0.5
253,-,-,-
254,0.7,0.6,1.2
255,1,0.8,1.8
256,1.3,0.2,1.5
257,0.6,0.4,1
258,0.7,0.4,1
259,1.1,0.6,1.7
260,0.4,0.6,1
261,1.1,0.1,1.2
262,2.3,0.8,3.1
263,1.6,0.8,2.4
264,1.9,0.4,2.3
265,1.8,0.9,2.7
266,1.2,0.5,1.7
267,0.7,0.4,1
268,1.5,1,2.5
269,1.7,0.8,2.4
270,0.5,0.5,1
271,0.9,0.1,1.1
272,1,0.4,1.4
273,1.1,0.3,1.3
274,-,-,-
275,1.4,0.5,1.8
276,1.6,0.4,2
277,0.6,0.5,1.1
278,0.9,0.4,1.3
279,1.5,0.1,1.6
280,2.4,0.9,3.4
281,1.2,0.4,1.6
282,1.1,0.3,1.4
283,0.8,-,0.8
284,1.7,0.5,2.1
285,0.2,0.2,0.3
286,1,0.3,1.3
287,0.8,0.4,1.3
288,0.6,0.4,1
289,1.9,0.7,2.6
290,0.6,0.2,0.8
291,1.5,-,1.5
292,0.7,0.5,1.3
293,0.9,0.4,1.4
294,0.3,0.2,0.5
295,1.9,1.6,3.5
296,1,0.2,1.2
297,0.6,0.1,0.7
298,1.3,0.3,1.5
299,0.6,0.1,0.7
300,0.5,0.1,0.6
301,1.8,0.9,2.7
302,1.3,1.1,2.4
303,1.3,0.3,1.7
304,0.9,0.4,1.3
305,1.2,0.5,1.7
306,1.3,0.7,2
307,1.4,0.6,2
308,0.5,0.3,0.8
309,0.4,0.1,0.5
310,1.1,0.3,1.4
311,1.4,0.4,1.9
312,1.5,0.9,2.4
313,0.6,0.3,0.9
314,-,0.1,0.1
315,0.8,0.5,1.2
316,-,-,-
317,0.5,0.2,0.7
318,1.4,0.2,1.7
319,-,-,-
320,0.8,0.8,1.6
321,0.9,0.4,1.2
322,1,0.8,1.7
323,0.7,0.3,1
324,1.5,0.4,1.9
325,0.9,-,0.9
326,0.8,0.4,1.2
327,0.4,0.1,0.6
328,1.5,0.3,1.9
329,1.1,0.4,1.5
330,0.3,0.4,0.7
331,0.8,0.5,1.3
332,-,0.2,0.2
333,-,-,-
334,1.6,0.5,2.1
335,0.4,0.6,1
336,1,0.7,1.7
337,0.3,0.1,0.3
338,0.5,0.3,0.8
339,1.4,0.5,1.8
340,0.5,0.6,1.1
