,Name,Club,Age,Height,National,Positions
190,Luka Sucic,Real Sociedad,22 years old (08-09-2002),185cm,Croatia,Attacking Midfielder (Centre)
191,Álex Muñoz,Las Palmas,30 years old (30-07-1994),187cm,Spain,Defender (Left)
192,Robert Navarro,Mallorca,23 years old (12-04-2002),178cm,Spain,"Attacking Midfielder (Left, Right)"
193,Daley Blind,Girona,35 years old (09-03-1990),180cm,Netherlands,"Defender (Centre, Left), Defensive Midfielder (C), Midfielder (Left)"
194,Nicolas Pépé,Villarreal,29 years old (29-05-1995),183cm,Ivory Coast,"Attacking Midfielder (Centre, Left, Right), Forward"
195,Brahim Díaz,Real Madrid,25 years old (03-08-1999),171cm,Morocco,"Attacking Midfielder (Centre, Left, Right), Forward"
196,Viti Rozada,Las Palmas,27 years old (16-09-1997),180cm,,Defender (Right)
197,Javi Puado,Espanyol,26 years old (25-05-1998),177cm,Spain,"Attacking Midfielder (Centre, Left, Right), Forward"
198,Hugo Álvarez,Celta Vigo,21 years old (02-07-2003),176cm,Spain,"Midfielder (Left, Right)"
199,Jasper Cillessen,Las Palmas,36 years old (22-04-1989),185cm,Netherlands,Goalkeeper
200,Enzo Boyomo,Osasuna,23 years old (07-10-2001),180cm,Cameroon,Defender (Centre)
201,Tanguy Nianzou,Sevilla,22 years old (07-06-2002),187cm,France,Defender (Centre)
202,Álvaro García,Rayo Vallecano,32 years old (27-10-1992),167cm,Spain,"Attacking Midfielder (Centre, Left)"
203,Álex Remiro,Real Sociedad,30 years old (24-03-1995),192cm,Spain,Goalkeeper
204,Diego López,Valencia,22 years old (13-05-2002),172cm,,"Attacking Midfielder (Left, Right), Forward"
205,Dário Essugo,Las Palmas,20 years old (14-03-2005),178cm,Portugal,Defensive Midfielder (C)
206,Yvan Neyou,Leganes,28 years old (03-01-1997),180cm,Cameroon,Defensive Midfielder (C)
207,Igor Zubeldia,Real Sociedad,28 years old (30-03-1997),181cm,Spain,"Defender (Centre), Defensive Midfielder (C)"
208,Álvaro Rodríguez,Getafe,20 years old (14-07-2004),192cm,,Forward
209,Juan Soriano,Leganes,27 years old (23-08-1997),185cm,Spain,Goalkeeper
210,Selvi Clua,Almeria,20 years old (29-01-2005),189cm,Spain,Midfielder
211,Yarek Gasiorowski,Valencia,20 years old (12-01-2005),190cm,,"Defender (Centre, Left)"
212,Ladislav Krejcí,Girona,26 years old (20-04-1999),191cm,Czech Republic,Defender (Centre)
213,Jonathan Bamba,Chicago Fire FC,29 years old (26-03-1996),175cm,Ivory Coast,"Attacking Midfielder (Centre, Left, Right), Forward"
214,Mouctar Diakhaby,Valencia,28 years old (19-12-1996),189cm,Guinea,"Defender (Centre), Defensive Midfielder (C)"
215,Isi Palazón,Rayo Vallecano,30 years old (27-12-1994),169cm,Spain,"Attacking Midfielder (Centre, Right), Forward"
216,Nahuel Molina,Atletico Madrid,27 years old (06-04-1998),175cm,Argentina,"Defender (Right), Midfielder (Right)"
217,Natan,Real Betis,24 years old (06-02-2001),188cm,Brazil,"Defender (Centre, Left)"
218,Aritz Arambarri,Eibar,27 years old (31-01-1998),186cm,Spain,Defender
219,Coba da Costa,Getafe,22 years old (26-07-2002),182cm,,Midfielder (Left)
220,Matija Nastasic,Leganes,32 years old (28-03-1993),188cm,Serbia,Defender (Centre)
221,Pablo Fornals,Real Betis,29 years old (22-02-1996),178cm,Spain,"Midfielder (Centre, Left, Right)"
222,Ricardo Rodríguez,Real Betis,32 years old (25-08-1992),182cm,Switzerland,"Defender (Centre, Left), Midfielder (Left)"
