,Age,Height,Market_Value,Months_left,Sub_app,Mins,Goals,Assists,PS%,MotM,Rating,CrAss,CorAss,ThrbAss,FreAss,OthAss,BlkSh,BlkCr,BlkPs,YelC,RedC,TotClr,Fouled,Fouls,SYBGs,PAGs,OOBGs,TotInt,COF,UnTch,Dispo,SYBSh,Card,League_EPL,League_Laliga,League_Ligue1,League_SerieA,Foot_left,Foot_right,Position_Group_Tiền vệ,Position_Group_Tiền đạo,Continent_Grouped_Europe,Continent_Grouped_Other,Club_Group_Lower Tier,Club_Group_Mid-High Tier,Club_Group_Mid-Tier,Club_Group_Top Tier,Club_Group_Upper Tier
236,30.0,184.0,7.0,13.0,1.0,2269.0,3.0,5.0,84.0,1.0,6.88,0.2,0.1,0.0,0.1,0.0,0.4,0.0,0.4,0.3,0.0,2.5,1.9,1.0,0.0,0.0,0.1,0.9,0.0,0.7,0.4,0.0,9,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
237,22.0,185.0,25.0,49.0,12.0,1592.0,8.0,5.0,72.6,2.0,6.74,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.5,0.1,0.0,0.4,0.6,0.6,0.1,0.1,0.0,0.2,0.3,1.3,0.9,0.2,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
238,24.0,195.0,2.0,25.0,11.0,341.0,2.0,0.0,57.1,0.0,6.21,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.0,0.0,0.2,0.4,0.6,0.1,0.1,0.0,0.1,0.1,1.2,0.5,0.2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
239,28.0,180.0,20.0,37.0,3.0,2228.0,1.0,6.0,87.3,2.0,7.18,0.1,0.0,0.0,0.0,0.1,0.4,0.2,1.1,0.2,0.0,2.9,1.4,0.8,0.0,0.0,0.0,1.4,0.1,0.9,0.3,0.0,5,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
240,29.0,173.0,2.0,13.0,1.0,2401.0,0.0,0.0,72.4,0.0,6.52,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.4,0.2,0.0,2.3,1.1,1.0,0.0,0.0,0.0,0.9,0.0,1.1,0.4,0.0,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
241,19.0,183.0,5.0,25.0,15.0,456.0,2.0,1.0,75.5,0.0,6.34,0.1,0.1,0.0,0.0,0.0,0.2,0.1,0.2,0.1,0.0,0.1,0.5,0.2,0.0,0.1,0.0,0.2,0.1,0.9,1.0,0.0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
242,23.0,184.0,80.0,49.0,6.0,2078.0,9.0,12.0,86.4,6.0,7.61,0.1,0.0,0.0,0.0,0.3,0.0,0.1,0.7,0.1,0.0,0.3,2.0,0.6,0.0,0.2,0.1,0.3,0.1,1.6,0.8,0.1,2,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
243,29.0,187.0,4.5,25.0,0.0,2790.0,0.0,0.0,75.7,3.0,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
244,31.0,185.0,5.0,25.0,4.0,253.0,2.0,0.0,81.8,0.0,6.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.6,0.0,0.3,0.0,0.1,0.6,1.4,0.1,0.0,2,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
245,29.0,188.0,3.0,1.0,3.0,1030.0,0.0,1.0,87.9,0.0,6.28,0.0,0.0,0.0,0.0,0.1,0.6,0.1,0.4,0.1,0.0,3.3,0.2,0.4,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
