,TotTkl,DribPast,TotAttTkl
501,0.1,0.6,0.8
502,-,-,-
503,-,-,-
504,-,-,-
505,0.5,-,0.5
506,-,-,-
507,-,-,-
508,-,-,-
509,-,-,-
510,-,-,-
511,0.7,0.6,1.3
512,0.3,-,0.3
513,-,-,-
514,0.5,0.5,1
515,0.6,-,0.6
516,0.5,0.5,1
517,0.4,0.4,0.8
518,-,-,-
519,-,-,-
520,0.3,-,0.3
521,-,0.3,0.3
522,-,-,-
523,-,-,-
524,-,-,-
525,-,-,-
526,-,-,-
527,-,-,-
528,-,-,-
529,0.8,0.2,1
530,-,1.5,1.5
531,1.2,0.4,1.6
532,-,-,-
533,-,-,-
534,0.5,1,1.5
535,-,-,-
536,-,-,-
537,-,-,-
538,-,-,-
539,0.5,-,0.5
540,0.7,0.2,0.8
541,-,-,-
542,-,-,-
