,Name,Club,Age,Height,National,Positions
155,Joshua King,Toulouse,33 years old (15-01-1992),180cm,Norway,"Attacking Midfielder (Centre, Left, Right), Forward"
156,Mathias Pereira Lage,Brest,28 years old (30-11-1996),180cm,France,"Midfielder (Centre, Left, Right)"
157,Saïdou Sow,Nantes,22 years old (04-07-2002),187cm,Guinea,Defender (Centre)
158,Matthis Abline,Nantes,22 years old (28-03-2003),176cm,France,"Attacking Midfielder (Left, Right), Forward"
159,Florent Hanin,Angers,35 years old (04-02-1990),177cm,France,"Defender (Left), Midfielder (Left)"
160,Leo Østigård,Hoffenheim,25 years old (28-11-1999),182cm,Norway,Defender (Centre)
161,Farid El Melali,Angers,27 years old (13-07-1997),168cm,Algeria,"Defender (Right), Midfielder (Left, Right)"
162,Amine Harit,Marseille,27 years old (18-06-1997),180cm,Morocco,"Attacking Midfielder (Centre, Left, Right), Forward"
163,Jordan Lefort,Angers,31 years old (09-08-1993),184cm,France,"Defender (Centre, Left)"
164,Matvey Safonov,Paris Saint-Germain,26 years old (25-02-1999),192cm,Russia,Goalkeeper
165,Mohamed Abdelmonem,Nice,26 years old (01-02-1999),183cm,Egypt,Defender (Centre)
166,Félix Lemaréchal,Strasbourg,21 years old (07-08-2003),180cm,France,Midfielder (Centre)
167,Beres Owusu,Quevilly,21 years old (19-09-2003),,France,Defender
168,Ainsley Maitland-Niles,Lyon,27 years old (29-08-1997),177cm,England,"Defender (Left, Right), Midfielder (Centre, Left, Right)"
169,Rémy Cabella,Lille,35 years old (08-03-1990),171cm,France,"Midfielder (Centre, Left, Right), Forward"
170,Haris Belkebla,Angers,31 years old (28-01-1994),177cm,Algeria,Defensive Midfielder (C)
171,Gianluigi Donnarumma,Paris Saint-Germain,26 years old (25-02-1999),196cm,Italy,Goalkeeper
172,Gabriel Osho,Auxerre,26 years old (14-08-1998),185cm,England,"Defender (Centre, Right), Defensive Midfielder (C)"
173,Mohamed-Ali Cho,Nice,21 years old (19-01-2004),181cm,France,"Attacking Midfielder (Centre, Right), Forward"
174,Valentin Atangana Edoa,Reims,19 years old (25-08-2005),173cm,France,Defensive Midfielder (C)
175,Jean-Eudes Aholou,Angers,31 years old (20-03-1994),186cm,Ivory Coast,Defensive Midfielder (C)
176,Mathieu Gorgelin,Le Havre,34 years old (05-08-1990),187cm,France,Goalkeeper
177,Takumi Minamino,Monaco,30 years old (16-01-1995),172cm,Japan,"Attacking Midfielder (Centre, Left, Right), Forward"
178,Sofiane Diop,Nice,24 years old (09-06-2000),175cm,France,"Attacking Midfielder (Centre, Left, Right)"
179,Yann Gboho,Toulouse,24 years old (14-01-2001),178cm,Ivory Coast,"Attacking Midfielder (Centre, Left), Forward"
180,Mitchel Bakker,Lille,24 years old (20-06-2000),185cm,Netherlands,"Defender (Left), Midfielder (Left, Right)"
181,Sam Amo-Ameyaw,Strasbourg,18 years old (18-07-2006),174cm,,Forward
182,Djibril Sidibé,Toulouse,32 years old (29-07-1992),182cm,France,"Defender (Centre, Left, Right), Midfielder (Right)"
183,Moussa Niakhaté,Lyon,29 years old (08-03-1996),190cm,Senegal,"Defender (Centre, Left)"
184,Chuba Akpom,Lille,29 years old (09-10-1995),183cm,England,"Attacking Midfielder (Centre, Right), Forward"
185,Osame Sahraoui,Lille,23 years old (11-06-2001),170cm,Norway,Attacking Midfielder (Left)
186,Justin Bourgault,Brest,19 years old (14-09-2005),,France,Defender
187,Facundo Medina,Lens,25 years old (28-05-1999),184cm,Argentina,"Defender (Centre, Left)"
188,Yaya Fofana,Reims,20 years old (12-06-2004),180cm,Mali,Midfielder (Centre)
189,Elisha Owusu,Auxerre,27 years old (07-11-1997),182cm,France,Defensive Midfielder (C)
190,Junior Mwanga,Le Havre,21 years old (11-05-2003),184cm,France,Defensive Midfielder (C)
191,Gautier Larsonneur,Saint-Etienne,28 years old (23-02-1997),181cm,France,Goalkeeper
192,Sergio Akieme,Reims,27 years old (16-12-1997),175cm,Equatorial Guinea,"Defender (Left), Midfielder (Left)"
193,Amadou Koné,Reims,19 years old (14-05-2005),185cm,,Defensive Midfielder (C)
194,Nicolas Pallois,Nantes,37 years old (19-09-1987),190cm,,Defender (Centre)
195,Breel Embolo,Monaco,28 years old (14-02-1997),187cm,Switzerland,"Attacking Midfielder (Centre, Right), Forward"
196,Florian Sotoca,Lens,34 years old (25-10-1990),187cm,France,"Midfielder (Centre, Right), Forward"
197,Ki-Jana Hoever,Auxerre,23 years old (18-01-2002),183cm,Netherlands,"Defender (Left, Right), Midfielder (Right)"
198,Arouna Sangante,Le Havre,23 years old (12-04-2002),189cm,Senegal,"Defender (Centre, Right)"
199,Kévin Pedro,Saint-Etienne,19 years old (21-02-2006),183cm,France,Defender
200,Mark McKenzie,Toulouse,26 years old (25-02-1999),184cm,USA,Defender (Centre)
201,Georges Mikautadze,Lyon,24 years old (31-10-2000),176cm,Georgia,Forward
202,Christian Mawissa,Monaco,20 years old (18-04-2005),185cm,France,"Defender (Centre, Left)"
203,Ismaël Doukouré,Strasbourg,21 years old (24-07-2003),183cm,France,"Defender (Centre), Defensive Midfielder (C)"
204,Jhoanner Chávez,Lens,23 years old (25-04-2002),182cm,Ecuador,"Defender (Left), Midfielder (Left)"
205,Josué Casimir,Le Havre,23 years old (24-09-2001),178cm,Guadeloupe,"Midfielder (Left, Right), Forward"
206,Soungoutou Magassa,Monaco,21 years old (08-10-2003),188cm,France,"Defender (Centre), Defensive Midfielder (C)"
207,Dante,Nice,41 years old (18-10-1983),188cm,Brazil,Defender (Centre)
208,Jordan Siebatcheu,Reims,29 years old (26-04-1996),190cm,USA,Forward
209,Philipp Köhn,Monaco,27 years old (02-04-1998),190cm,Switzerland,Goalkeeper
210,Matias Fernandez-Pardo,Lille,20 years old (03-02-2005),183cm,,"Attacking Midfielder (Left), Forward"
211,Léo Pétrot,Saint-Etienne,28 years old (15-04-1997),188cm,France,"Defender (Centre, Left)"
212,Mousa Al Ta'mari,Rennes,27 years old (10-06-1997),175cm,Jordan,"Midfielder (Left, Right), Forward"
213,Quentin Merlin,Marseille,22 years old (16-05-2002),174cm,France,"Defender (Left), Midfielder (Left)"
214,Abner Vinícius,Lyon,24 years old (27-05-2000),182cm,,"Defender (Left), Midfielder (Left)"
215,Romain Faivre,Brest,26 years old (14-07-1998),180cm,France,"Attacking Midfielder (Centre, Left, Right)"
216,Tino Kadewere,Nantes,29 years old (05-01-1996),183cm,Zimbabwe,"Attacking Midfielder (Centre, Left, Right), Forward"
217,Alban Lafont,Nantes,26 years old (23-01-1999),193cm,France,Goalkeeper
218,Rares Ilie,Catanzaro,22 years old (19-04-2003),185cm,Romania,Midfielder
219,Kamory Doumbia,Brest,22 years old (18-02-2003),170cm,Mali,Attacking Midfielder (Centre)
