,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
85,Douglas Augusto,26,2137,4,2,8,-,1.2,87,0.8,-,6.85
86,Alidu Seidu,10(1),807,-,-,4,-,0.3,86.4,0.9,-,6.85
87,Ali Abdi,15(7),1257,4,2,2,-,1.2,79.5,0.9,3,6.85
88,Alexandre Lacazette,22(6),1892,13,2,5,-,1.9,72.5,0.6,1,6.85
89,Morgan Sanson,1(2),109,2,-,-,-,1.3,77.1,0.3,-,6.85
90,Aron Dønnum,29(1),2518,1,2,5,-,0.9,76.7,0.4,2,6.85
91,Adrien Thomasson,28(2),2370,2,4,5,-,1.3,84,0.6,2,6.83
92,Hervé Koffi,5,450,-,-,2,-,-,67.9,0.2,-,6.83
93,Eliesse Ben Seghir,18(12),1648,6,3,-,-,2,82.3,0.5,2,6.83
94,Marshall Munetsi,19,1694,4,2,5,-,1.7,69.7,2.2,-,6.83
95,Ismaël Bennacer,6(4),542,-,2,1,-,0.3,93.2,0.2,-,6.83
96,Caio Henrique,18(6),1663,-,5,3,-,0.1,78.5,0.4,-,6.83
97,Mory Gbane,10,856,-,-,1,-,0.4,85.9,1.2,-,6.83
98,Brice Samba,14,1260,-,-,3,-,-,75.4,0.4,1,6.82
99,Gift Orban,2(1),186,2,-,1,-,1.3,67.7,0.3,-,6.81
100,Tanguy Ndombélé,12(6),1134,1,2,2,-,0.6,88.3,0.2,-,6.81
101,Leonardo Balerdi,24,2006,-,-,6,1,0.5,94.1,1.5,-,6.81
102,Yanis Zouaoui,9(6),945,-,2,3,-,0.3,74.8,0.5,2,6.81
103,Gonçalo Ramos,10(9),868,7,2,-,-,2.4,80.6,1,-,6.80
104,Mohammed Salisu,11(4),1021,1,-,2,-,0.5,85.4,2.4,-,6.80
105,Ismaily,8(6),754,-,1,3,-,0.6,88.8,0.7,-,6.80
106,Beraldo,20(2),1815,1,-,5,-,0.5,94.8,2,-,6.79
107,Lucas Stassin,23(5),1897,12,4,4,-,1.6,76.4,0.6,3,6.79
108,Adrien Truffert,28(2),2485,2,1,3,-,0.7,84.2,1,1,6.79
109,Neil El Aynaoui,14(7),1319,5,1,4,-,0.7,88.3,1,2,6.79
110,Julien Le Cardinal,15(1),1379,-,1,3,-,0.6,87.2,1.8,-,6.79
111,Arnaud Kalimuendo,29(1),2380,14,3,2,-,2.3,80.7,0.7,2,6.79
112,Pierre Lees-Melou,15(3),1360,2,2,5,-,1.1,85.6,0.2,1,6.79
113,Kenny Lala,26(1),2416,3,2,5,-,0.4,81.2,0.2,-,6.78
114,Gerónimo Rulli,31,2790,-,-,1,-,-,86.2,0.3,2,6.77
115,Clinton Mata,25(2),2258,-,3,4,-,0.1,89.9,0.8,1,6.77
116,Himad Abdelli,29,2583,6,1,4,-,1.1,84.8,0.5,-,6.77
117,Joseph Okumu,17(2),1499,1,-,3,1,0.6,83.2,1.5,1,6.77
118,Milan Skriniar,4(1),381,-,-,1,-,0.6,96.5,1.4,-,6.77
119,Keito Nakamura,29(1),2482,11,2,4,-,2.5,77.7,0.2,1,6.77
120,Pierre Ekwah,26,2309,1,-,3,-,0.7,88.6,1.1,1,6.76
121,Vincent Sierro,24(2),2140,5,1,4,-,1.1,80.7,1.1,-,6.76
122,Sebastian Nanasi,25(3),1998,5,4,-,-,1,84.4,0.1,-,6.76
123,Malick Fofana,13(13),1317,5,4,1,-,1,82.1,0.1,1,6.76
124,Lorenz Assignon,25(4),2155,3,4,8,-,0.7,81.7,1.1,2,6.76
125,Brice Samba,15,1350,-,-,1,-,-,78.9,-,1,6.76
