Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Bernardo Silva,23(4),2128,2,4,6,-,1,88.9,0.1,-,6.79
Gabriel Martinelli,19(8),1802,6,4,1,-,1.4,77.8,0.5,1,6.79
Nick Pope,22,1980,-,-,2,-,-,63,0.5,1,6.79
Raúl Jiménez,24(8),1972,10,3,3,-,2.5,72.6,2,2,6.79
David Raya,32,2880,-,-,2,-,-,70.6,0.3,2,6.79
Ben Davies,10(1),901,-,-,3,-,0.4,90.6,3.6,-,6.78
Leandro Trossard,23(9),2103,5,5,2,1,1.8,80.4,0.2,1,6.78
Jurriën Timber,26(3),2333,1,2,7,-,0.5,87.5,0.8,1,6.78
Anthony Elanga,25(7),2016,6,8,1,-,1.1,78,0.7,1,6.78
Alisson Becker,22,1969,-,-,-,-,-,80.5,0.3,-,6.78
Tyler Adams,15(7),1469,-,3,5,-,0.4,83.5,1.3,-,6.78
Sandro Tonali,22(8),2092,3,2,5,-,0.9,85,0.3,2,6.78
Vitalii Mykolenko,29,2544,-,1,2,-,0.4,77.7,1.5,1,6.78
Marc Guéhi,30,2700,3,2,7,1,0.4,84.2,2.2,2,6.78
Wilfred Ndidi,23,1896,-,4,6,-,0.8,81.8,2.1,1,6.78
Ethan Pinnock,21(1),1914,2,-,2,-,0.5,87.6,2.9,-,6.78
Ollie Watkins,26(6),2178,14,6,1,-,2.3,75.4,1.3,2,6.77
Lucas Digne,26(3),2163,-,4,3,-,0.4,83.2,1.2,1,6.77
Noussair Mazraoui,29(3),2485,-,1,2,-,0.4,85.6,1.3,1,6.77
Harvey Barnes,11(16),1259,9,3,-,-,1.7,81.8,0.2,1,6.77
Nico González,7,573,-,-,3,-,0.9,93.5,1.9,-,6.77
Danny Welbeck,19(6),1692,8,4,3,-,2,83.8,0.6,3,6.76
Fabian Schär,27(1),2413,3,-,6,1,1,84.1,1.3,-,6.76
Ismaïla Sarr,25(7),2283,7,4,3,-,1.4,70.4,0.9,3,6.75
Jørgen Strand Larsen,27(3),2329,12,2,4,-,1.6,64.6,2,2,6.75
Jake O'Brien,12(3),1119,2,-,4,-,0.3,77.1,2,1,6.74
Maximilian Kilman,32,2809,-,1,3,-,0.3,86.8,2.9,1,6.74
Dara O'Shea,29,2583,-,2,6,-,0.7,78.5,3.4,-,6.74
Carlos Alcaraz,4(5),432,1,1,3,-,2,79.2,1,-,6.74
Rodrigo Bentancur,18(4),1436,2,-,7,-,1,88.7,1.5,-,6.74
Liam Delap,29(2),2366,12,2,9,-,2,61.9,1.7,3,6.73
Kepa,25,2250,-,-,3,-,-,68.2,0.2,1,6.73
Ferdi Kadioglu,5(1),389,1,-,1,-,0.7,85.3,0.5,-,6.73
Wesley Fofana,14,1176,-,-,7,-,0.2,90.8,1.9,-,6.73
Destiny Udogie,22(1),1753,-,1,2,-,0.2,88.7,0.6,-,6.72
Keane Lewis-Potter,30(2),2644,1,2,5,-,0.8,80.1,0.8,1,6.72
Illia Zabarnyi,29(1),2575,-,-,3,1,0.3,81.1,2.1,1,6.72
Matthijs de Ligt,24(4),2093,2,-,3,-,0.6,90.5,2,1,6.72
Marcus Rashford,12(3),983,4,1,2,-,1.1,76.9,0.3,-,6.72
Riccardo Calafiori,11(6),929,2,1,4,-,0.6,87.7,1.3,-,6.71
Toti Gomes,24(1),2076,-,1,5,-,0.3,85.3,1.6,-,6.71
Diogo Jota,13(8),1045,6,3,2,-,2,70.3,1,1,6.71
Jan Paul van Hecke,28(1),2511,1,-,5,1,0.6,88.8,2.4,1,6.71
Harry Maguire,16(6),1419,1,-,7,-,0.5,86.9,2.3,-,6.71
Pedro Neto,18(11),1742,3,4,8,-,1.7,88.2,0.3,2,6.71
Jan Bednarek,26,2175,2,-,7,-,0.2,92.6,2.6,1,6.71
Joël Veltman,19,1647,-,-,4,-,0.3,82.2,1.2,-,6.71
Antonín Kinsky,4,360,-,-,-,-,-,77.5,0.5,-,6.71
Chris Richards,17(2),1519,1,-,2,-,0.5,81.9,1.8,-,6.70
Nélson Semedo,27(1),2422,-,4,7,-,0.5,81.7,1,-,6.70
Jadon Sancho,18(8),1614,3,4,1,-,0.8,85.5,0.2,-,6.70
Timothy Castagne,17(5),1608,-,1,1,-,0.4,83,1.6,-,6.70
Tyrick Mitchell,32,2681,-,4,2,-,0.3,73.6,0.5,-,6.69
Levi Colwill,29,2610,1,1,7,-,0.5,90.1,2.6,-,6.69
Tosin Adarabioyo,13(6),1224,1,1,3,-,0.6,91.5,1.9,-,6.69
Mateus Fernandes,28(2),2420,2,3,8,-,1.2,84,0.4,1,6.69
Axel Disasi,5(1),459,-,-,2,-,0.3,89.3,1.3,-,6.69
Yerson Mosquera,5,442,-,-,2,-,0.4,86.1,2.2,-,6.69
Sepp van den Berg,23(2),2049,-,-,2,-,0.5,84,3,-,6.69
Matty Cash,18(3),1566,1,1,6,-,0.5,85.4,0.8,-,6.68
Matt Doherty,21(4),1812,2,1,6,-,0.4,84.3,1.8,-,6.67
Harry Wilson,8(11),836,5,1,2,-,1.5,78.7,0.2,2,6.67
