,TotPs,AccLB,InAccLB,AccSP,InAccSP
403,20.9,0.7,0.3,18.6,1.3
404,2.5,0.5,-,0.5,1.5
405,41.1,0.8,1,36.3,3.1
406,10.3,0.2,0.7,6.9,2.5
407,4,0.3,-,2.8,0.8
408,8.7,0.2,0.2,6.3,1.9
409,20,0.6,1.5,15.6,2.3
410,19.8,0.7,1.3,16,1.8
411,7,-,-,7,-
412,42.9,0.9,0.7,39.3,2
413,25.2,5.2,6.4,12.4,1.2
414,18.9,0.7,1.3,15.1,1.7
415,48.7,1.5,2.2,41.7,3.3
416,15.6,0.6,0.4,12.8,1.8
417,12.4,1.1,0.3,9.4,1.7
418,14.5,-,-,12,2.5
419,31.5,9,12,10.5,-
420,8.7,0.3,0.3,6.3,1.9
421,55.8,1.8,2.8,48.8,2.5
422,19,0.3,0.5,16.8,1.5
423,24.9,0.5,0.2,22.7,1.7
424,33.6,0.7,1.1,28.6,3.2
425,14.3,0.5,0.2,11.8,1.8
426,37.2,2.9,2.7,29.3,2.2
427,16.5,0.4,1.6,13,1.5
428,14.1,0.1,0.2,12.9,0.9
429,5.5,-,0.1,3.7,1.8
430,13.5,0.4,0.3,11.2,1.6
431,20,1.3,0.5,15.3,2.8
432,9.9,0.2,0.2,8.3,1.2
433,13.9,0.3,0.4,10.2,3
434,14.8,0.8,-,11.5,2.5
435,21.8,0.6,0.7,17.5,3
436,82,5,15,56,6
437,5.5,-,-,4.5,1
438,11,0.2,0.2,8,2.6
439,4.1,-,0.1,2.3,1.8
440,5.2,0.2,0.5,3.2,1.3
441,4,-,-,4,-
442,3,-,1,1,1
443,9.4,-,-,7.5,2
444,28.7,2.3,1.8,20.9,3.7
445,6.8,-,-,5.4,1.3
446,9.6,0.3,0.5,7,1.8
447,12.6,0.3,0.2,10.7,1.5
448,60,3.5,3.6,49.9,3
449,11.1,0.4,0.9,7.3,2.4
450,8.6,0.6,1.3,6.1,0.6
451,9.9,0.2,0.4,7.4,1.9
452,18.2,0.2,0.4,15.4,2.3
453,15.8,0.1,0.2,13.4,2.1
454,24.1,0.6,0.8,19.8,3
455,13.8,0.3,0.8,10.9,1.9
456,5.3,-,0.2,4.2,1
457,33.7,0.9,1.1,28.4,3.3
458,10.1,0.3,0.3,9.3,0.4
459,7.6,0.2,0.4,5.8,1.2
460,7,-,0.3,6,0.7
461,5,0.1,-,3.7,1.1
462,22.6,0.4,0.4,20.4,1.3
463,2.3,-,-,1.7,0.7
464,7.7,-,0.1,6.6,1
465,13.5,0.2,0.3,11.1,1.9
466,42,1.3,1.4,36.8,2.6
467,12,0.7,0.1,10.1,1.1
468,8.2,0.2,0.2,7.2,0.6
469,3,-,-,2.5,0.5
470,2,-,-,2,-
471,1,-,1,-,-
472,11.7,0.6,0.5,9,1.5
473,4.4,0.1,0.2,3.2,0.9
474,9.5,-,0.1,7.9,1.5
475,9.5,1,-,7.5,1
476,-,-,-,-,-
477,15.4,1.7,1,11.5,1.3
478,20.8,0.6,0.7,17.1,2.4
479,4.4,0.1,0.1,3.9,0.3
480,18,0.4,0.8,15.1,1.7
481,16.6,0.9,1.9,12,1.9
482,11,1,-,8.3,1.8
483,7.5,0.1,0.1,6.1,1.2
484,19.7,0.6,0.6,15.9,2.6
485,6,-,-,4,2
486,6.5,0.2,0.1,4.6,1.6
487,5.5,-,-,5,0.5
488,5.3,-,-,4.3,1
489,7.1,0.1,0.1,5.8,1.1
490,6,-,-,6,-
491,45.3,6,13.3,24.7,1.3
492,8.1,0.1,0.2,6,1.8
493,17,0.6,0.1,14.4,1.9
494,3,-,-,3,-
495,17.3,0.6,1.3,13.4,2
496,18.5,-,0.5,16,2
497,5.4,0.1,-,4.9,0.4
498,3.7,-,0.1,2.5,1.1
499,1,-,-,1,-
500,3.7,0.3,0.1,2.4,0.9
501,10.1,0.4,0.3,7.8,1.6
502,2.7,-,0.3,2,0.3
503,3,-,-,2,1
504,2.6,-,0.1,2.3,0.3
505,2,-,-,1.5,0.5
506,8.4,-,0.1,5.9,2.4
507,4.3,-,-,3.3,1
508,16,2,-,13,1
509,4,-,-,3,1
510,16,1,2,8,5
511,15.9,0.4,0.3,12.2,3
512,5,0.1,0.3,4,0.6
513,0.9,-,-,0.4,0.5
514,51,1.4,0.9,45.5,3.2
515,7.3,-,0.6,5.6,1.1
516,2,-,-,1.5,0.5
517,4.4,-,0.2,3.5,0.7
518,9.3,1.3,0.7,7,0.3
519,7.5,-,0.5,5.5,1.5
520,4.5,1,-,3.5,-
521,45.3,1.9,2.1,39.3,1.9
522,3.6,0.2,0.1,2.9,0.4
523,15.6,1.1,1.3,11.1,2.2
524,5.3,-,-,3.7,1.7
525,3.5,-,-,3.5,-
526,25,1,1,21,2
527,7,-,-,7,-
528,16,0.7,0.7,13.7,1
529,57,0.5,2,52.5,2
530,5,-,-,5,-
531,30.8,1,2.5,24.8,2.5
532,1,-,-,1,-
533,-,-,-,-,-
534,-,-,-,-,-
535,-,-,-,-,-
536,-,-,-,-,-
537,2,-,-,-,2
538,-,-,-,-,-
539,2.7,-,-,2.7,-
540,-,-,-,-,-
541,-,-,-,-,-
542,2,-,-,2,-
543,1,-,-,1,-
544,2,-,-,1,1
545,0.3,-,-,-,0.3
546,2.7,-,-,2.3,0.5
547,9.2,-,0.2,7.2,1.8
548,2,-,-,1,1
549,10.9,0.1,-,9.1,1.6
550,22,6,6,10,-
551,13.5,0.5,-,8,5
552,2.8,-,-,2,0.8
553,4.3,0.3,1,2,1
554,3.5,-,-,3,0.5
555,8,-,0.5,5,2.5
556,7.4,-,0.1,5.6,1.6
557,9,1,-,7,1
558,6,-,-,4,2
559,-,-,-,-,-
560,29.7,2,2.1,22.4,3.1
561,1,-,-,1,-
562,24,-,0.5,20,3.5
563,57,10,27,18,2
