,TotTkl,DribPast,TotAttTkl
474,0.3,0.2,0.5
475,2.5,2,4.5
476,1,1,2
477,0.5,0.4,0.8
478,0.8,0.3,1.1
479,0.1,0.2,0.3
480,0.4,-,0.4
481,0.3,-,0.3
482,1.5,-,1.5
483,0.4,0.2,0.6
484,1.2,0.9,2.1
485,1,-,1
486,0.8,0.5,1.3
487,-,0.5,0.5
488,0.3,0.5,0.8
489,0.3,0.1,0.4
490,-,-,-
491,-,-,-
492,0.4,0.5,0.9
493,0.3,0.4,0.7
494,-,-,-
495,0.9,0.8,1.6
496,-,-,-
497,0.5,0.2,0.7
498,0.3,-,0.3
499,1,-,1
500,0.6,0.1,0.7
501,0.7,0.2,0.9
502,-,-,-
503,-,-,-
504,0.2,0.2,0.4
505,1,-,1
506,0.9,0.1,1
507,1,1.8,2.8
508,-,-,-
509,-,-,-
510,5,-,5
511,0.3,0.8,1.1
512,0.5,0.4,0.9
513,0.1,0.1,0.2
514,1.9,0.7,2.6
515,1.1,0.4,1.6
516,0.3,-,0.3
517,0.5,0.2,0.7
518,-,-,-
519,-,0.5,0.5
520,-,0.5,0.5
521,0.7,0.1,0.8
522,0.2,0.3,0.4
523,0.9,0.4,1.3
524,0.3,-,0.3
525,0.5,-,0.5
526,-,1,1
527,-,-,-
528,0.7,0.3,1
529,0.5,0.5,1
530,-,-,-
531,0.5,-,0.5
532,-,-,-
533,2,-,2
534,-,-,-
535,-,-,-
536,-,-,-
537,-,-,-
538,-,-,-
539,-,-,-
540,-,-,-
541,-,-,-
542,-,-,-
543,-,-,-
544,1,-,1
545,-,-,-
546,0.1,0.2,0.3
547,-,0.7,0.7
548,-,-,-
549,0.8,0.3,1
550,-,-,-
551,0.5,1,1.5
552,0.2,0.2,0.3
553,-,0.3,0.3
554,-,-,-
555,0.5,1.5,2
556,1,0.2,1.2
557,1,-,1
558,-,-,-
559,-,-,-
560,0.7,0.4,1.1
561,-,1,1
562,-,-,-
563,-,1,1
