,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,SYBSh,PASh,OOBSh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD
99,1.3,0.7,0.3,0.3,-,1.3,-,0.7,0.7,1.7,1,0.7,2,-,2,0.3,1.7
100,0.6,0.1,-,0.1,-,0.6,0.1,0.2,0.3,2.6,1.2,1.4,1.6,1.2,0.7,0.2,0.6
101,0.5,-,-,-,-,0.5,0.2,-,0.3,1,0.3,0.8,0.8,0.5,2.4,1.5,0.8
102,0.3,-,-,-,-,0.3,0.3,-,-,1.2,0.3,0.9,1.1,0.2,0.7,0.5,0.3
103,2.4,0.4,0.2,0.2,-,2.4,0.1,0.7,1.6,0.5,0.5,0.1,0.6,0.5,1.7,1,0.7
104,0.5,0.1,0.1,-,-,0.5,-,0.2,0.3,0.1,0.1,-,0.4,0.1,3.6,2.4,1.2
105,0.6,-,-,-,-,0.6,0.2,-,0.4,1.2,0.7,0.5,0.6,0.5,1.6,0.7,0.9
106,0.5,-,-,-,-,0.5,0.1,-,0.4,-,-,-,0.4,0.1,2.9,2,0.9
107,1.6,0.4,0.1,0.3,-,1.6,0.3,0.2,1.1,1.6,0.9,0.8,2.1,0.7,1.8,0.6,1.1
108,0.7,0.1,-,-,-,0.7,0.3,-,0.4,1.3,0.9,0.5,1.1,0.7,1.9,1,0.9
109,0.7,0.2,-,0.2,-,0.7,0.3,-,0.4,0.9,0.7,0.2,1,0.9,1.6,1,0.7
110,0.6,-,-,-,-,0.6,-,0.1,0.6,0.4,0.1,0.3,0.2,0.4,3,1.8,1.2
111,2.3,0.5,0.2,0.3,-,2.3,0.4,0.3,1.6,1.8,1.2,0.6,1.8,1.8,2.5,0.7,1.8
112,1.1,0.1,-,0.1,-,1.1,0.7,0.1,0.3,0.9,0.4,0.5,1.2,0.4,0.6,0.2,0.4
113,0.4,0.1,-,0.1,-,0.4,0.3,-,0.1,0.7,0.3,0.4,0.9,0.4,0.6,0.2,0.4
114,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,0.3,-
115,0.1,-,-,-,-,0.1,-,-,0.1,1.1,0.6,0.5,0.6,0.4,1.3,0.8,0.6
116,1.1,0.2,0.1,0.1,-,1.1,0.6,0.2,0.3,4,2.1,1.9,1.7,1.6,1.1,0.5,0.6
117,0.6,0.1,-,0.1,-,0.6,0.1,-,0.5,0.9,0.2,0.7,0.6,0.1,2.3,1.5,0.8
118,0.6,-,-,-,-,0.6,-,-,0.6,0.6,0.6,-,0.4,-,2.4,1.4,1
119,2.5,0.4,-,0.3,-,2.5,0.7,0.1,1.7,2.3,1.5,0.8,2.1,1.3,0.7,0.2,0.5
120,0.7,-,-,-,-,0.7,0.7,-,0.1,1,0.5,0.5,0.9,0.6,1.7,1.1,0.5
121,1.1,0.2,-,0.1,-,1.1,0.6,0.1,0.4,0.9,0.6,0.3,1.6,0.7,2.2,1.1,1.2
122,1,0.2,-,0.1,-,1,0.1,0.1,0.8,1.4,0.8,0.6,0.7,0.5,0.4,0.1,0.3
123,1,0.2,-,0.2,-,1,0.1,-,0.9,1.8,1,0.7,1.2,0.6,0.4,0.1,0.3
124,0.7,0.1,-,0.1,-,0.7,0.2,-,0.4,2.3,1.5,0.8,1.9,1.2,1.8,1.1,0.7
125,-,-,-,-,-,-,-,-,-,0.1,-,0.1,-,-,-,-,-
126,0.5,-,-,-,-,0.5,-,-,0.5,-,-,-,0.3,-,3.8,2.2,1.6
127,1.8,0.3,-,0.3,-,1.8,1,0.1,0.7,1.2,0.6,0.6,1.1,1.2,2,1.3,0.7
128,0.4,0.1,-,0.1,-,0.4,0.1,0.1,0.2,0.2,0.1,0.1,0.4,0.1,3.2,2.1,1.2
129,0.2,-,-,-,-,0.2,0.1,-,0.1,0.8,0.5,0.3,0.3,0.1,2.1,1.2,1
130,0.5,0.1,-,0.1,-,0.5,-,0.1,0.4,0.3,-,0.3,0.4,0.2,2.8,2.1,0.7
131,0.9,0.1,-,0.1,-,0.9,0.2,-,0.7,0.9,0.4,0.4,0.8,0.4,1.6,1,0.6
132,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2,0.2,-
133,0.6,0.1,-,0.1,-,0.6,0.1,0.2,0.3,0.1,0.1,0.1,0.4,0.1,3,2.2,0.8
134,1.7,0.1,-,0.1,-,1.7,1.3,-,0.4,2.4,1.5,1,1.6,1,1.6,0.8,0.9
