,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,SYBSh,PASh,OOBSh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD
187,0.9,0.1,-,0.1,-,0.9,-,-,0.9,0.5,0.4,0.1,0.5,0.2,2.5,1.9,0.7
188,0.4,0.1,0.1,-,-,0.4,0.2,0.1,0.2,0.1,0.1,-,0.4,-,2.2,1.2,1.1
189,1.9,0.3,-,0.3,-,1.9,0.5,0.1,1.4,0.5,0.4,0.2,1.2,0.6,5.3,2.3,3
190,1.3,0.1,-,0.1,-,1.3,0.7,-,0.6,3.2,2,1.3,1.8,1.5,1,-,0.9
191,0.3,-,-,-,-,0.3,-,-,0.3,0.3,-,0.3,1,-,2.5,2,0.5
192,0.2,-,-,-,-,0.2,-,0.1,0.1,-,-,-,0.3,0.1,2.8,1.7,1.1
193,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,0.4,-
194,1.1,0.3,-,0.2,0.1,1.1,0.5,-,0.6,1.2,0.5,0.6,1.3,0.6,0.7,0.1,0.5
195,0.7,-,-,-,-,0.7,0.5,-,0.2,1.3,0.7,0.7,0.7,0.7,1,0.3,0.7
196,0.4,-,-,-,-,0.4,0.4,-,-,0.4,0.4,-,1.1,0.4,1.8,0.9,0.9
197,0.1,-,-,-,-,0.1,-,-,0.1,0.1,-,0.1,0.3,0.1,2.8,1.4,1.3
198,1,0.1,-,0.1,-,1,0.1,0.3,0.6,0.1,-,0.1,0.6,0.2,3.6,2.2,1.4
199,1.6,0.3,0.1,0.2,0.1,1.6,0.4,0.2,1,1.2,0.8,0.3,1.8,1,2.7,1,1.7
200,1,-,-,-,-,1,1,-,-,0.4,0.1,0.3,0.8,0.6,1.4,0.8,0.7
201,0.4,-,-,-,-,0.4,-,0.1,0.3,0.5,0.1,0.3,0.4,0.1,2.8,1.4,1.4
202,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
203,0.6,0.1,-,0.1,-,0.6,0.2,-,0.4,1.3,0.7,0.6,0.6,0.4,0.7,0.2,0.5
204,0.5,-,-,-,-,0.5,0.5,-,-,1.7,0.2,1.5,0.5,0.5,0.7,0.5,0.2
205,0.3,-,-,-,-,0.3,-,0.1,0.2,0.2,0.1,0.1,0.2,0.2,2.6,1.2,1.4
206,1.8,0.2,-,0.2,-,1.8,0.3,0.2,1.2,1.8,0.9,0.9,2.2,1.9,2.5,0.7,1.8
207,0.5,-,-,-,-,0.5,-,-,0.4,0.4,0.3,0.1,0.4,0.1,3.7,1.9,1.9
208,0.2,-,-,-,-,0.2,-,-,0.1,0.3,0.1,0.2,0.7,0.2,4.4,2,2.4
209,0.6,-,-,-,-,0.6,0.1,-,0.5,0.3,0.3,-,1,0.4,2.5,1.4,1.1
210,0.6,0.1,-,0.1,-,0.6,-,0.1,0.5,0.1,-,0.1,0.4,-,4,2.5,1.5
211,1.5,0.1,-,-,0.1,1.5,1.4,-,0.2,1.5,1,0.4,1.2,1.1,1.5,0.7,0.7
212,2.2,0.2,-,0.2,-,2.2,0.5,0.1,1.6,0.7,0.4,0.3,1.9,1,5.5,2.4,3
213,0.4,-,-,-,-,0.4,0.1,-,0.3,0.4,0.2,0.3,0.6,0.2,1.9,1,0.9
214,1,0.1,-,-,-,1,0.4,-,0.6,1.8,1.2,0.6,1.6,1.3,1.6,0.6,1
