,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,SYBSh,PASh,OOBSh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD
93,1.5,0.1,-,0.1,-,1.5,1.1,-,0.5,3.9,2.2,1.7,1.4,0.9,1.2,0.6,0.5
94,0.5,-,-,-,-,0.5,0.2,0.1,0.2,1.1,0.7,0.4,0.7,0.6,2.2,1.3,0.9
95,0.2,-,-,-,-,0.2,-,-,0.1,-,-,-,0.3,-,4.1,2.3,1.9
96,1.4,0.1,-,0.1,-,1.4,0.6,0.1,0.8,4,2.2,1.8,1.3,0.3,0.6,0.3,0.4
97,0.3,-,-,-,-,0.3,0.2,-,0.1,0.7,0.3,0.4,0.5,0.3,0.2,0.1,0.1
98,0.1,-,-,-,-,0.1,-,-,0.1,1,0.3,0.8,0.6,0.1,1.8,0.8,1
99,0.2,-,-,-,-,0.2,-,0.1,0.1,0.2,-,0.2,0.2,-,3.1,1.9,1.2
100,1.2,0.2,-,0.2,-,1.2,0.2,-,1,4.2,2.3,1.9,2.5,1.4,0.8,0.3,0.5
101,1.5,-,-,-,-,1.5,0.5,-,1,4.8,2.9,2,1.4,0.4,0.5,-,0.4
102,0.6,-,-,-,-,0.6,0.4,-,0.2,0.4,0.2,0.2,0.7,0.4,1.4,0.4,1
103,1.5,0.2,0.1,0.1,-,1.5,0.2,0.3,1.1,3,1.9,1.1,2.8,0.5,1.2,0.6,0.5
104,-,-,-,-,-,-,-,-,-,-,-,-,0.1,-,0.2,0.2,-
105,1.1,0.1,-,0.1,-,1.1,0.2,0.1,0.8,0.9,0.5,0.5,1.1,1.3,2.3,0.9,1.4
106,-,-,-,-,-,-,-,-,-,0.5,-,0.5,-,0.5,2,1.5,0.5
107,0.6,-,-,-,-,0.6,0.5,-,0.1,1.4,0.9,0.5,1.1,0.5,1.7,1,0.6
108,0.6,-,-,-,-,0.6,0.1,0.1,0.4,0.2,0.1,0.1,0.3,-,3.5,2.5,1
109,1.9,-,-,-,-,1.9,0.7,0.1,1,1.3,0.8,0.6,1.2,0.6,3.2,1.7,1.5
110,0.6,0.1,-,0.1,-,0.6,-,0.1,0.5,0.4,0.1,0.3,0.5,0.1,4.6,2.8,1.8
111,1.6,0.4,0.1,0.3,-,1.6,0.3,0.2,1.2,1,0.6,0.4,2.7,1.1,6.1,3.2,2.9
112,1.5,-,-,-,-,1.5,0.9,0.1,0.5,0.2,-,0.1,0.4,0.1,3.8,2.2,1.6
113,0.9,0.2,-,0.1,-,0.9,0.4,-,0.5,2.6,1.5,1.2,1.1,1.1,1.1,0.4,0.7
114,-,-,-,-,-,-,-,-,-,0.2,-,0.2,-,-,0.2,0.2,-
115,0.8,-,-,-,-,0.8,-,0.1,0.7,-,-,-,0.4,-,5.2,4.1,1.1
116,0.6,-,-,-,-,0.6,0.4,0.1,0.1,1,0.6,0.4,0.9,0.4,2,1,1
117,2,0.2,0.1,0.1,-,2,0.7,0.1,1.1,4.2,2.5,1.8,2.2,1.3,0.8,0.2,0.6
118,0.2,0.1,-,0.1,-,0.2,-,-,0.2,0.2,0.1,0.1,0.3,0.1,3.2,1.8,1.4
119,1.2,0.1,-,-,-,1.2,0.5,-,0.6,1.4,0.8,0.6,0.7,0.3,0.7,0.3,0.3
120,0.5,-,-,-,-,0.5,0.2,0.1,0.2,0.5,0.3,0.2,0.2,0.4,2.6,1.4,1.2
121,0.5,-,-,-,-,0.5,0.1,0.1,0.3,0.7,0.5,0.3,0.6,0.3,1.3,0.6,0.7
122,0.9,-,-,-,-,0.9,0.6,-,0.3,1.9,1,0.9,0.9,0.7,0.6,0.3,0.3
123,1,-,-,-,-,1,0.6,-,0.4,1.9,0.9,1,1.3,0.9,0.7,0.2,0.6
124,2.1,0.1,-,-,-,2.1,0.5,0.1,1.5,3.5,1.9,1.6,1.9,1.7,2,0.7,1.3
125,1.3,0.1,0.1,-,-,1.3,0.5,0.1,0.7,4.2,2.5,1.6,2.2,1.6,0.2,-,0.2
126,1.6,0.3,-,0.2,0.1,1.6,0.9,-,0.8,1.5,1,0.5,1.5,0.9,1,0.4,0.5
127,-,-,-,-,-,-,-,-,-,0.1,-,0.1,-,-,0.1,0.1,-
128,0.1,-,-,-,-,0.1,-,-,0.1,0.1,-,0.1,0.6,-,3.1,1.9,1.2
129,1.3,0.1,-,0.1,-,1.3,0.8,0.1,0.4,2.7,1.5,1.3,1.6,1.2,1.1,0.4,0.6
130,1.8,0.3,-,0.3,-,1.8,0.7,-,1.1,0.9,0.4,0.5,1.3,0.6,0.6,0.3,0.3
131,0.5,-,-,-,-,0.5,0.2,-,0.3,1.2,0.5,0.6,1.1,0.4,0.8,0.3,0.5
132,0.8,-,-,-,-,0.8,0.5,-,0.3,1.4,0.7,0.7,1.1,0.6,1.2,0.4,0.8
133,1.3,0.3,-,-,0.3,1.3,1,-,0.3,0.3,-,0.3,0.3,-,-,-,-
