,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,OOBSh,SYBSh,PASh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD
157,1,0.1,-,-,-,1,0.5,-,0.4,0.2,0.1,0.1,0.3,-,1.5,0.9,0.6
158,0.3,-,-,-,-,0.3,0.1,-,0.1,1,0.6,0.4,0.3,0.4,0.5,0.3,0.3
159,0.3,-,-,-,-,0.3,-,0.1,0.2,0.3,0.1,0.2,0.3,0.3,3.2,1.6,1.6
160,0.3,0.1,-,0.1,-,0.3,-,0.1,0.3,1,0.6,0.4,1.1,1.1,0.5,0.1,0.4
161,0.3,0.1,-,0.1,-,0.3,-,0.2,0.1,0.3,0.2,0.1,0.2,0.2,3.1,1.9,1.2
162,1,-,-,-,-,1,0.6,0.1,0.3,0.3,0.2,0.1,0.2,0.2,0.9,0.5,0.3
163,0.4,-,-,-,-,0.4,0.2,0.1,0.2,0.3,0.2,0.1,0.7,0.3,2.8,1.4,1.3
164,1.4,0.2,-,-,0.2,1.4,0.5,-,0.9,1,0.4,0.6,1.5,0.8,1.2,0.3,1
165,0.8,-,-,-,-,0.8,0.4,0.1,0.3,0.7,0.3,0.4,0.5,0.2,3,1.9,1.1
166,1.4,0.3,0.1,0.1,0.1,1.4,0.5,0.1,0.8,1,0.6,0.4,1.9,0.6,2.3,1.2,1.1
167,0.6,0.1,-,-,-,0.6,0.1,-,0.4,0.4,0.3,0.1,0.2,0.1,4.3,2.4,1.9
168,0.5,0.1,-,0.1,-,0.5,0.1,0.2,0.1,1.1,0.5,0.6,0.7,0.2,2.5,1.3,1.3
169,1,0.1,0.1,-,-,1,0.3,0.1,0.6,1.5,0.8,0.8,1.4,0.9,1.6,0.8,0.9
170,0.8,0.1,-,-,0.1,0.8,-,0.1,0.7,-,-,-,0.3,-,4.5,2.7,1.8
171,1.1,0.1,0.1,-,0.1,1.1,0.6,0.1,0.5,1.1,0.8,0.3,1.4,0.2,1.2,0.6,0.6
172,1.6,0.4,0.1,0.1,0.2,1.6,0.5,0.1,1,0.5,0.1,0.3,1.4,0.6,2,0.9,1.1
173,1.9,0.4,-,0.2,0.2,1.9,0.1,0.3,1.4,0.8,0.6,0.1,1.2,0.9,2.6,1.1,1.5
174,1.1,0.2,0.1,0.1,-,1.1,0.4,0.2,0.5,1.3,0.8,0.5,1,0.5,1.7,0.7,1
175,1.3,0.2,-,-,0.1,1.3,0.4,0.1,0.8,2.5,1.6,0.9,1.7,1.1,1.4,0.3,1.1
176,0.2,-,-,-,-,0.2,-,-,0.2,0.5,0.2,0.3,0.9,0.3,1.2,0.8,0.4
177,1,0.1,-,-,0.1,1,0.3,0.1,0.6,2.2,1.4,0.8,2.3,0.7,1.8,0.9,0.9
178,1.5,0.2,-,0.1,0.1,1.5,0.6,0.3,0.7,2.4,1.3,1.1,1.7,1.2,0.9,0.2,0.7
179,0.1,-,-,-,-,0.1,-,-,0.1,0.1,-,0.1,0.4,0.4,3.6,2.4,1.1
180,0.6,0.1,-,-,0.1,0.6,0.3,-,0.3,0.5,0.2,0.3,0.7,0.3,0.8,0.4,0.4
181,0.6,-,-,-,-,0.6,0.2,-,0.4,1.7,0.9,0.8,1.6,0.8,1.5,0.6,1
182,0.3,-,-,-,-,0.3,0.1,-,0.2,0.3,0.2,0.1,0.3,0.1,2.9,1.7,1.2
183,0.6,0.1,-,-,-,0.6,0.2,0.1,0.3,2.2,1.4,0.7,1.3,0.2,1,0.5,0.5
184,0.6,0.1,-,-,0.1,0.6,0.2,-,0.3,1,0.5,0.5,1.2,0.8,1,0.5,0.5
185,0.4,0.1,-,-,-,0.4,0.1,-,0.3,1.4,0.6,0.8,0.7,0.8,0.7,0.5,0.2
186,0.7,0.1,-,-,0.1,0.7,-,-,0.7,0.8,0.6,0.2,0.6,0.4,0.2,0.1,0.1
187,2.2,0.3,0.1,-,0.2,2.2,0.5,-,1.6,3.5,2.2,1.3,3.1,2.7,2.8,0.8,2
188,0.4,-,-,-,-,0.4,0.2,-,0.2,0.5,0.1,0.4,0.9,0.2,1.2,0.6,0.6
189,0.1,-,-,-,-,0.1,0.1,-,-,0.3,0.2,0.1,0.3,0.3,1.9,0.8,1.1
190,0.4,-,-,-,-,0.4,0.1,-,0.3,1.4,0.8,0.6,0.7,0.5,0.5,0.3,0.3
191,0.3,0.1,-,0.1,-,0.3,-,0.3,-,0.5,0.4,0.1,0.3,0.4,4.1,2.6,1.5
192,0.2,-,-,-,-,0.2,0.1,-,0.1,0.3,0.2,0.1,0.5,0.1,2.9,1.7,1.2
193,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-
194,0.4,-,-,-,-,0.4,0.3,-,0.1,1.1,0.6,0.5,1,0.3,2,1.2,0.8
195,1.6,0.3,0.1,-,0.2,1.6,0.2,0.3,1.2,0.9,0.7,0.2,2.6,1,4.7,2.1,2.7
196,1,0.1,-,-,-,1,0.2,-,0.8,2.7,1.4,1.3,1.2,0.8,0.4,0.1,0.3
197,0.2,-,-,-,-,0.2,-,-,0.2,1.5,1,0.5,0.7,0.5,1,0.5,0.5
198,0.4,-,-,-,-,0.4,0.4,-,-,1.4,0.8,0.6,0.9,0.7,0.9,0.7,0.2
199,0.5,-,-,-,-,0.5,-,-,0.5,1,-,1,1.5,1,4.5,2,2.5
200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
201,0.4,-,-,-,-,0.4,-,-,0.3,0.3,0.3,0.1,0.4,0.5,5.4,2.8,2.7
202,0.3,-,-,-,-,0.3,0.3,-,0.1,1.5,0.9,0.7,0.8,0.2,0.6,0.3,0.3
203,0.4,0.1,-,0.1,0.1,0.4,0.2,0.1,0.2,0.5,0.2,0.3,0.4,0.3,2.3,1.1,1.2
204,0.8,-,-,-,-,0.8,0.6,-,0.2,1.8,0.8,0.9,1.5,0.5,1.2,0.6,0.6
205,0.1,-,-,-,-,0.1,0.1,-,-,-,-,-,0.4,-,2.6,1.3,1.3
206,0.3,-,-,-,-,0.3,0.1,-,0.1,0.8,0.3,0.5,0.5,0.5,0.7,0.1,0.5
207,1.2,0.1,-,-,0.1,1.2,0.6,-,0.6,3.2,1.6,1.6,1.8,1.4,2.1,0.6,1.5
208,0.2,-,-,-,-,0.2,0.1,-,0.2,0.1,0.1,0.1,0.2,0.2,3.6,1.7,1.9
209,-,-,-,-,-,-,-,-,-,1.2,0.8,0.4,0.4,1.2,1.6,0.2,1.4
210,1.4,0.2,-,-,0.2,1.4,0.4,0.1,1,0.9,0.5,0.5,1.3,0.5,5,2.3,2.7
211,1.4,0.2,-,-,0.2,1.4,0.3,0.1,1.1,1.1,0.6,0.5,1,0.8,0.4,0.2,0.2
212,0.5,-,-,-,-,0.5,0.2,-,0.3,1.9,1,0.9,0.9,0.5,1.6,0.8,0.9
213,0.5,-,-,-,-,0.5,0.3,-,0.2,0.9,0.5,0.4,1.2,0.7,2.3,1.3,1
214,0.7,-,-,-,-,0.7,0.3,-,0.4,0.6,0.5,0.2,0.7,0.5,4.4,2.8,1.7
215,0.6,-,-,-,-,0.6,0.2,0.1,0.4,1.2,0.8,0.3,1.1,0.4,1.8,0.6,1.2
216,0.5,-,-,-,-,0.5,0.2,-,0.2,0.5,0.4,0.1,1.1,0.5,2.3,1.2,1.1
217,1,0.1,-,-,-,1,0.4,-,0.5,1.1,0.6,0.4,0.5,0.5,1.7,0.9,0.8
218,1.5,-,-,-,-,1.5,0.4,0.2,0.9,1.8,0.8,1,2.7,0.6,2.1,1.1,1
219,0.4,-,-,-,-,0.4,0.1,0.1,0.2,0.4,0.2,0.2,0.8,0.2,3.8,2.1,1.8
220,1.1,0.1,-,-,0.1,1.1,0.4,0.1,0.5,2.2,1,1.2,1.2,0.7,1.4,0.9,0.6
221,0.3,0.1,-,-,0.1,0.3,-,0.1,0.2,0.3,0.1,0.2,0.3,0.1,1.5,1,0.5
222,1,0.1,-,-,-,1,0.3,-,0.7,2,1.3,0.8,1.6,0.6,1.5,0.5,1
223,0.6,-,-,-,-,0.6,0.3,-,0.3,0.7,0.3,0.4,0.5,0.3,2.2,1.3,0.9
224,0.2,-,-,-,-,0.2,0.1,-,-,1.9,0.9,1,0.8,0.8,1.7,0.8,1
225,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.2,-,0.2,0.3,0.1,1.6,0.8,0.8
226,0.5,-,-,-,-,0.5,0.1,-,0.3,0.3,0.1,0.2,0.2,0.1,4,2.2,1.9
