,Player,Club,League,Age,Height_all,National,Positions,Main_position,Foot,Apps,Mins,Goals,Assists,Yel,Red,PS%,AerialsWon,MotM,Rating,Contract,Market_Value
238,Iñaki Peña,FC Barcelona,Laliga,26 years old (02-03-1999),"1,84m",Spain,Goalkeeper,Goalkeeper,right,14(1),1304.0,-,-,1,-,87,0.1,-,6.54,"Jun 30, 2026",€10.00m
239,Oliver McBurnie,UD Las Palmas,Laliga,28 years old (04-06-1996),"1,88m",Scotland,"Attacking Midfielder (Centre, Left), Forward",Centre-Forward,right,16(13),1478.0,2,6,1,-,66.7,2.5,-,6.54,"Jun 30, 2027",€2.50m
240,André Almeida,Valencia CF,Laliga,24 years old (30-05-2000),"1,76m",Portugal,"Midfielder (Centre, Left), Forward",Attacking Midfield,right,21(9),1742.0,-,3,2,-,89.5,0.1,-,6.54,"Jun 30, 2028",€8.00m
241,Iván Villar,Celta de Vigo,Laliga,27 years old (09-07-1997),"1,86m",Spain,Goalkeeper,Goalkeeper,right,4,360.0,-,-,-,-,78.4,0.3,-,6.54,"Jun 30, 2027",€900k
242,Copete,RCD Mallorca,Laliga,25 years old (10-10-1999),"1,90m",,Defender (Centre),Centre-Back,left,14(9),1373.0,-,-,6,-,83.3,1.2,2,6.54,"Jun 30, 2026",€2.80m
243,Alfonso Espino,Rayo Vallecano,Laliga,33 years old (05-01-1992),"1,72m",Uruguay,Defender (Left),Left-Back,left,8(4),731.0,-,-,4,-,76.6,1,-,6.54,"Jun 30, 2026",€1.50m
244,Javi Rodríguez,Celta de Vigo,Laliga,21 years old (26-06-2003),"1,78m",,Defender (Centre),Centre-Back,right,22(9),2109.0,2,2,7,-,86.1,1.2,1,6.54,"Jun 30, 2028",€10.00m
245,Marc-André ter Stegen,FC Barcelona,Laliga,32 years old (30-04-1992),"1,87m",Germany,Goalkeeper,Goalkeeper,right,6,497.0,-,-,-,-,90.1,0.3,-,6.54,"Jun 30, 2028",€15.00m
246,Iker Almena,Al Qadasiya,Laliga,20 years old (04-05-2004),177cm,Spain,Forward,,,0(2),46.0,-,1,-,-,80.8,-,-,6.54,,
247,Koke,Atlético de Madrid,Laliga,33 years old (08-01-1992),"1,76m",Spain,"Midfielder (Centre, Left, Right)",Central Midfield,right,16(11),1590.0,1,1,4,-,87.5,0.3,2,6.53,"Jun 30, 2025",€10.00m
248,Diego Conde,Villarreal CF,Laliga,26 years old (28-10-1998),"1,88m",Spain,Goalkeeper,Goalkeeper,right,21,1873.0,-,1,2,-,76.4,0.1,1,6.53,"Jun 30, 2029",€10.00m
249,Mika Mármol,UD Las Palmas,Laliga,23 years old (01-07-2001),"1,81m",Spain,"Defender (Centre, Left)",Centre-Back,left,23(3),2041.0,-,1,4,-,80.3,0.7,-,6.53,"Jun 30, 2026",€12.00m
250,Jorge de Frutos,Rayo Vallecano,Laliga,28 years old (20-02-1997),"1,73m",Spain,"Attacking Midfielder (Left, Right)",Right Winger,right,26(5),2170.0,4,3,2,1,73.9,0.4,2,6.53,"Jun 30, 2028",€4.00m
251,Óscar Rodríguez,CD Leganés,Laliga,26 years old (28-06-1998),"1,74m",Spain,"Attacking Midfielder (Centre, Left, Right), Forward",Attacking Midfield,right,12(13),1221.0,1,4,6,1,77.3,0.4,2,6.53,"Jun 30, 2026",€2.00m
252,Abdel Abqar,Deportivo Alavés,Laliga,26 years old (10-03-1999),"1,88m",Morocco,Defender (Centre),Centre-Back,right,29,2468.0,-,1,13,-,76.9,1.4,-,6.53,"Jun 30, 2025",€7.50m
253,Adrián Pica,Deportivo Alavés,Laliga,23 years old (25-04-2002),"1,90m",,Defender (Centre),Centre-Back,,5(3),485.0,-,-,1,-,77.8,2.1,-,6.53,"Jun 30, 2026",€1.50m
254,Abel Bretones,CA Osasuna,Laliga,24 years old (21-08-2000),"1,88m",Spain,Defender (Left),Left-Back,left,19(12),1926.0,2,-,3,-,75.7,0.6,-,6.53,"Jun 30, 2029",€3.00m
255,Alfon González,Celta de Vigo,Laliga,25 years old (04-05-1999),"1,72m",Spain,Attacking Midfielder (Left),Left Winger,,11(11),1147.0,4,2,1,1,78.9,0.1,2,6.53,"Jun 30, 2025",€2.00m
256,Jesús Areso,CA Osasuna,Laliga,25 years old (02-07-1999),"1,82m",Spain,Defender (Right),Right-Back,right,30(1),2641.0,-,3,7,-,80,0.7,1,6.53,"Jun 30, 2026",€8.00m
257,Vicente Guaita,Celta de Vigo,Laliga,38 years old (10-01-1987),"1,90m",Spain,Goalkeeper,Goalkeeper,right,29,2610.0,-,-,-,-,79,0.3,1,6.53,"Jun 30, 2025",€800k
258,David López,Girona FC,Laliga,35 years old (09-10-1989),"1,85m",Spain,"Defender (Centre), Defensive Midfielder (C)",Centre-Back,right,24(2),2161.0,1,-,4,-,92,1.2,1,6.52,"Jun 30, 2026",€2.00m
259,Aritz Elustondo,Real Sociedad,Laliga,31 years old (28-03-1994),"1,80m",Spain,"Defender (Centre, Right)",Centre-Back,right,13(6),1185.0,-,-,2,1,85.5,1.5,1,6.52,"Jun 30, 2026",€4.00m
260,Thierry Correia,Valencia CF,Laliga,26 years old (09-03-1999),"1,76m",Portugal,"Defender (Right), Midfielder (Right)",Right-Back,right,9(2),771.0,-,-,1,-,73.4,0.4,-,6.52,"Jun 30, 2026",€6.00m
261,Borja Iglesias,Celta de Vigo,Laliga,32 years old (17-01-1993),"1,87m",Spain,Forward,Centre-Forward,right,21(11),1739.0,9,3,2,-,72.8,0.3,1,6.52,"Jun 30, 2025",€3.00m
262,Logan Costa,Villarreal CF,Laliga,24 years old (01-04-2001),"1,90m",France,Defender (Centre),Centre-Back,right,23(4),2136.0,2,-,3,-,87.4,1.4,-,6.52,"Jun 30, 2030",€15.00m
263,Javi Guerra,Valencia CF,Laliga,21 years old (13-05-2003),"1,87m",Spain,Midfielder (Centre),Central Midfield,right,27(5),2256.0,3,3,3,-,80.2,0.5,1,6.52,"Jun 30, 2027",€20.00m
264,Youssouf Sabaly,Real Betis Balompié,Laliga,32 years old (05-03-1993),"1,73m",Senegal,"Defender (Left, Right), Midfielder (Right)",Right-Back,right,18(2),1485.0,-,1,1,-,87.8,0.5,-,6.52,"Jun 30, 2026",€2.00m
265,Lucien Agoumé,Sevilla FC,Laliga,23 years old (09-02-2002),"1,85m",France,Defensive Midfielder (C),Defensive Midfield,right,19(11),1669.0,1,1,5,1,83.3,1.1,2,6.51,"Jun 30, 2028",€7.00m
266,Seydouba Cissé,CD Leganés,Laliga,24 years old (10-02-2001),"1,78m",Guinea,Midfielder (Centre),Central Midfield,right,27(3),2107.0,2,-,3,1,85.2,0.8,1,6.51,"Jun 30, 2026",€3.00m
267,Toni Martínez,Deportivo Alavés,Laliga,27 years old (30-06-1997),"1,87m",Spain,Forward,Centre-Forward,right,8(17),907.0,4,-,1,-,61.2,2.9,-,6.51,"Jun 30, 2028",€2.80m
268,Frenkie de Jong,FC Barcelona,Laliga,27 years old (12-05-1997),"1,81m",Netherlands,"Defender (Centre), Defensive Midfielder (C)",Central Midfield,right,7(14),861.0,2,2,3,-,95,0.3,-,6.51,"Jun 30, 2026",€45.00m
269,Lucas Rosa,Ajax,Laliga,25 years old (03-04-2000),176cm,Brazil,"Defender (Left, Right)",,,21,1890.0,-,1,6,-,79.9,0.9,1,6.51,,
270,Brais Méndez,Real Sociedad,Laliga,28 years old (07-01-1997),"1,84m",Spain,"Attacking Midfielder (Centre, Right), Forward",Attacking Midfield,left,16(7),1337.0,3,1,4,-,82.4,0.8,1,6.51,"Jun 30, 2028",€28.00m
271,Sergi Altimira,Real Betis Balompié,Laliga,23 years old (25-08-2001),"1,88m",Spain,Defensive Midfielder (C),Central Midfield,right,18(10),1673.0,-,1,3,-,88.8,0.4,-,6.51,"Jun 30, 2029",€10.00m
272,Gorka Guruzeta,Athletic Bilbao,Laliga,28 years old (12-09-1996),"1,88m",Spain,Forward,Centre-Forward,right,18(14),1576.0,6,2,2,-,73.3,1.1,1,6.5,"Jun 30, 2028",€12.00m
273,Alejandro Francés,Girona FC,Laliga,22 years old (01-08-2002),"1,82m",Spain,Defender (Right),Right-Back,right,11(3),961.0,-,-,2,-,85.3,0.4,-,6.5,"Jun 30, 2029",€2.50m
274,Kike Pérez,Venezia FC,Laliga,28 years old (14-02-1997),184cm,Spain,Midfielder (Centre),,,14(5),1199.0,2,-,6,-,82.1,0.7,-,6.5,,
275,Maroan Sannadi,Athletic Bilbao,Laliga,24 years old (01-02-2001),"1,92m",,Forward,Centre-Forward,right,4(7),479.0,1,1,-,-,77.6,0.9,-,6.5,"Jun 30, 2029",€5.00m
276,Jofre Carreras,RCD Espanyol Barcelona,Laliga,23 years old (17-06-2001),"1,75m",Spain,"Attacking Midfielder (Left, Right)",Right Winger,right,24(8),2000.0,3,3,5,-,72.2,0.1,1,6.5,"Jun 30, 2029",€4.00m
277,Paulo Gazzaniga,Girona FC,Laliga,33 years old (02-01-1992),"1,95m",Argentina,Goalkeeper,Goalkeeper,right,33,2926.0,-,-,4,-,79.1,-,-,6.5,"Jun 30, 2027",€3.50m
278,Juanlu Sánchez,Sevilla FC,Laliga,21 years old (15-08-2003),"1,86m",Spain,"Defender (Right), Midfielder (Centre)",Right-Back,right,14(13),1349.0,4,3,3,1,85.1,0.7,1,6.49,"Jun 30, 2029",€12.00m
279,Cristhian Mosquera,Valencia CF,Laliga,20 years old (27-06-2004),"1,91m",Spain,Defender (Centre),Centre-Back,right,32,2870.0,1,-,6,-,92,1.1,1,6.49,"Jun 30, 2026",€30.00m
280,Giorgi Mamardashvili,Valencia CF,Laliga,24 years old (29-09-2000),"1,97m",Georgia,Goalkeeper,Goalkeeper,left,29,2610.0,-,-,1,-,61.8,0.2,2,6.49,"Jun 30, 2025",€30.00m
281,Ilaix Moriba,Celta de Vigo,Laliga,22 years old (19-01-2003),"1,85m",Guinea,Defensive Midfielder (C),Central Midfield,right,18(10),1739.0,-,1,5,1,87.2,0.7,-,6.49,"Jun 30, 2025",€4.00m
282,Fran Vieites,Real Betis Balompié,Laliga,25 years old (07-05-1999),"1,96m",,Goalkeeper,Goalkeeper,left,4,360.0,-,-,-,-,58.3,0.5,-,6.49,"Jun 30, 2026",€800k
283,Djibril Sow,Sevilla FC,Laliga,28 years old (06-02-1997),"1,84m",Switzerland,Midfielder (Centre),Central Midfield,right,21(6),1868.0,1,1,5,-,89.7,0.9,-,6.49,"Jun 30, 2028",€7.50m
284,Omar Mascarell,RCD Mallorca,Laliga,32 years old (02-02-1993),"1,81m",Spain,"Defender (Centre), Defensive Midfielder (C)",Defensive Midfield,right,18(9),1683.0,-,-,4,1,85.3,1.4,1,6.49,"Jun 30, 2026",€900k
285,Albert Sambi Lokonga,Sevilla FC,Laliga,25 years old (22-10-1999),"1,83m",Belgium,Defensive Midfielder (C),Central Midfield,right,15(5),1403.0,-,2,4,-,89.7,1.4,-,6.48,"Jun 30, 2025",€9.00m
286,Dani Cárdenas,Rayo Vallecano,Laliga,28 years old (28-03-1997),"1,86m",Spain,Goalkeeper,Goalkeeper,right,5,450.0,-,-,-,-,47.6,0.2,-,6.48,"Jun 30, 2027",€1.80m
287,Sergio Camello,Rayo Vallecano,Laliga,24 years old (10-02-2001),"1,82m",Spain,Forward,Centre-Forward,right,14(9),1140.0,3,2,2,-,80.6,0.5,-,6.48,"Jun 30, 2027",€3.50m
288,Aitor Ruibal,Real Betis Balompié,Laliga,29 years old (22-03-1996),"1,76m",Spain,"Defender (Right), Midfielder (Left, Right)",Right-Back,right,10(15),984.0,1,3,5,-,84.7,0.2,1,6.48,"Jun 30, 2028",€3.50m
289,Juan Bernat,Getafe CF,Laliga,32 years old (01-03-1993),"1,70m",Spain,"Defender (Left), Midfielder (Centre, Left)",Left-Back,left,7(4),574.0,-,1,-,-,74.5,0.7,-,6.48,"Jun 30, 2025",€2.50m
290,Romain Perraud,Real Betis Balompié,Laliga,27 years old (22-09-1997),"1,73m",France,"Defender (Left), Midfielder (Left)",Left-Back,left,20(5),1806.0,2,2,7,1,81.7,0.4,1,6.48,"Jun 30, 2029",€5.00m
291,Fran Beltrán,Celta de Vigo,Laliga,26 years old (03-02-1999),"1,65m",Spain,Defensive Midfielder (C),Central Midfield,right,25(4),2062.0,2,-,3,-,89.1,0.7,-,6.48,"Jun 30, 2026",€6.00m
292,Antonio Blanco,Deportivo Alavés,Laliga,24 years old (23-07-2000),"1,76m",Spain,Defensive Midfielder (C),Defensive Midfield,right,27(3),2310.0,-,1,8,1,81.4,0.9,1,6.47,"Jun 30, 2027",€7.50m
293,Vitor Roque,Palmeiras,Laliga,20 years old (28-02-2005),174cm,Brazil,Forward,,,14(8),1238.0,4,-,4,-,73.4,0.7,1,6.47,,
294,Pau Navarro,Villarreal CF,Laliga,20 years old (25-04-2005),"1,85m",,Defender,Centre-Back,right,4(8),600.0,-,-,-,-,90.1,0.3,-,6.47,"Jun 30, 2030",€1.00m
295,Carles Pérez,Getafe CF,Laliga,27 years old (16-02-1998),"1,73m",Spain,"Midfielder (Centre, Right), Forward",Right Winger,left,15(11),1405.0,3,-,2,-,74.4,0.5,-,6.47,"Jun 30, 2025",€2.50m
296,Pablo Durán,Celta de Vigo,Laliga,23 years old (25-05-2001),"1,76m",Spain,Forward,Centre-Forward,right,13(9),1153.0,4,4,3,-,73.4,0.5,2,6.47,"Jun 30, 2027",€3.50m
297,Mikel Oyarzabal,Real Sociedad,Laliga,28 years old (21-04-1997),"1,81m",Spain,"Attacking Midfielder (Centre, Left, Right), Forward",Centre-Forward,left,24(6),1931.0,8,2,4,1,74.4,0.9,2,6.46,"Jun 30, 2028",€30.00m
298,Ørjan Nyland,Sevilla FC,Laliga,34 years old (10-09-1990),"1,92m",Norway,Goalkeeper,Goalkeeper,right,26,2314.0,-,-,2,-,60.5,0.2,2,6.46,"Jun 30, 2026",€1.00m
299,Carlos Martín,Deportivo Alavés,Laliga,23 years old (22-04-2002),"1,80m",Spain,Attacking Midfielder (Left),Left Winger,right,16(8),1312.0,2,2,3,-,68.7,0.7,-,6.46,"Jun 30, 2025",€3.00m
300,Scott McKenna,UD Las Palmas,Laliga,28 years old (12-11-1996),"1,89m",Scotland,Defender (Centre),Centre-Back,left,26(1),2287.0,-,-,5,1,86.9,2.8,-,6.46,"Jun 30, 2027",€5.00m
301,Adam Aznou,Real Valladolid CF,Laliga,18 years old (02-06-2006),"1,78m",Spain,Defender (Left),Left-Back,left,7(2),582.0,-,-,2,-,73.1,0.8,-,6.46,"Jun 30, 2025",€3.00m
302,Djené Dakonam,Getafe CF,Laliga,33 years old (31-12-1991),"1,78m",Togo,"Defender (Centre, Right), Defensive Midfielder (C)",Centre-Back,right,29,2386.0,-,-,9,-,78.1,1.5,-,6.46,"Jun 30, 2025",€2.00m
303,Fernando López,Celta de Vigo,Laliga,20 years old (24-05-2004),188cm,,Midfielder,,,4(9),438.0,2,-,2,-,84.9,0.2,-,6.46,,
304,Unai López,Rayo Vallecano,Laliga,29 years old (30-10-1995),"1,70m",Spain,"Midfielder (Centre, Right)",Central Midfield,right,19(8),1437.0,3,1,8,1,86.5,0.4,-,6.46,"Jun 30, 2026",€2.80m
305,Álvaro Tejero,RCD Espanyol Barcelona,Laliga,28 years old (20-07-1996),"1,74m",Spain,Defender (Right),Right-Back,both,13(12),1157.0,1,4,2,-,78.8,0.4,1,6.46,"Jun 30, 2025",€2.00m
306,Juanpe,Girona FC,Laliga,33 years old (30-04-1991),"1,90m",Spain,Defender (Centre),Centre-Back,right,7(3),609.0,-,-,2,-,87.3,2,-,6.46,"Jun 30, 2025",€900k
307,Jorge Herrando,CA Osasuna,Laliga,24 years old (28-02-2001),"1,92m",Spain,Defender (Centre),Centre-Back,left,14(3),1274.0,1,-,3,-,86.3,1.5,1,6.46,"Jun 30, 2027",€4.00m
308,Adama Boiro,Athletic Bilbao,Laliga,22 years old (22-06-2002),"1,83m",Spain,Defender (Left),Left-Back,left,12(3),1000.0,-,-,2,-,83.9,1.1,-,6.45,"Jun 30, 2029",€2.50m
309,Donny van de Beek,Girona FC,Laliga,28 years old (18-04-1997),"1,84m",Netherlands,Midfielder (Centre),Central Midfield,right,16(10),1426.0,2,2,5,-,83.7,0.4,-,6.45,"Jun 30, 2028",€7.50m
310,Pedro Díaz,Rayo Vallecano,Laliga,26 years old (05-06-1998),"1,80m",Spain,Midfielder (Centre),Central Midfield,right,11(10),1010.0,3,-,2,-,84.5,0.2,-,6.45,"Jun 30, 2028",€2.50m
311,Pepelu,Valencia CF,Laliga,26 years old (11-08-1998),"1,86m",Spain,Defensive Midfielder (C),Defensive Midfield,right,15(15),1469.0,1,2,7,1,83.8,0.7,-,6.45,"Jun 30, 2028",€12.00m
312,Duk,CD Leganés,Laliga,25 years old (16-02-2000),"1,82m",,"Attacking Midfielder (Left), Forward",Left Winger,right,0(6),74.0,-,-,1,-,69.2,0.2,-,6.44,"Jun 30, 2025",€1.20m
313,Karl Hein,Real Valladolid CF,Laliga,23 years old (13-04-2002),"1,93m",Estonia,Goalkeeper,Goalkeeper,right,28,2520.0,-,-,-,-,70.1,0.3,1,6.44,"Jun 30, 2025",€3.00m
314,Andy Pelmard,UD Las Palmas,Laliga,25 years old (12-03-2000),"1,80m",France,"Defender (Centre, Right)",Right-Back,right,2(2),205.0,-,-,1,-,88.8,0.3,-,6.44,"Jun 30, 2025",€2.50m
315,Juan Herzog,UD Las Palmas,Laliga,20 years old (13-05-2004),"1,86m",Spain,Defender (Centre),Centre-Back,right,11(4),966.0,-,-,1,-,86.7,1.9,-,6.44,"Jun 30, 2025",€1.50m
316,Gavi,FC Barcelona,Laliga,20 years old (05-08-2004),"1,73m",Spain,"Midfielder (Centre, Left)",Central Midfield,right,11(10),817.0,1,1,4,-,89.9,0.9,-,6.43,"Jun 30, 2030",€70.00m
317,Pol Lozano,RCD Espanyol Barcelona,Laliga,25 years old (06-10-1999),"1,76m",Spain,Defensive Midfielder (C),Central Midfield,right,23(3),1753.0,-,-,12,-,84.9,0.3,-,6.43,"Jun 30, 2027",€4.00m
318,Pablo Marín,Real Sociedad,Laliga,21 years old (03-07-2003),"1,78m",Spain,Midfielder (Centre),Attacking Midfield,right,9(9),857.0,-,2,2,-,79.4,0.7,1,6.43,"Jun 30, 2028",€3.00m
319,Selim Amallah,Real Valladolid CF,Laliga,28 years old (15-11-1996),"1,85m",Morocco,"Attacking Midfielder (Centre, Left), Forward",Attacking Midfield,right,15(6),1196.0,3,1,6,-,83.5,0.2,-,6.43,"Jun 30, 2027",€1.80m
320,Antonio Sivera,Deportivo Alavés,Laliga,28 years old (11-08-1996),"1,85m",Spain,Goalkeeper,Goalkeeper,right,27,2362.0,-,-,6,1,53.7,0.2,-,6.43,"Jun 30, 2027",€6.00m
321,Enric Franquesa,CD Leganés,Laliga,28 years old (26-02-1997),"1,75m",Spain,"Defender (Left), Midfielder (Left)",Left-Back,left,7(5),615.0,1,-,1,-,73,0.4,-,6.43,"Jun 30, 2026",€1.50m
322,Raúl Albiol,Villarreal CF,Laliga,39 years old (04-09-1985),"1,90m",Spain,Defender (Centre),Centre-Back,right,14(1),1189.0,-,-,4,-,89.6,2,-,6.42,"Jun 30, 2025",€1.30m
323,Aihen Muñoz,Real Sociedad,Laliga,27 years old (16-08-1997),"1,75m",Spain,Defender (Left),Left-Back,left,10(8),843.0,-,-,4,-,77.9,1,-,6.42,"Jun 30, 2027",€5.00m
324,Isaac Romero,Sevilla FC,Laliga,24 years old (18-05-2000),"1,83m",Spain,Forward,Centre-Forward,left,26(2),2087.0,3,2,8,-,73.3,1,-,6.42,"Jun 30, 2028",€10.00m
325,Iván Sánchez,Real Valladolid CF,Laliga,32 years old (23-09-1992),"1,69m",Spain,"Attacking Midfielder (Centre, Right)",Right Winger,left,10(18),1178.0,1,1,4,-,83.7,0.5,-,6.42,"Jun 30, 2025",€600k
326,José Campaña,UD Las Palmas,Laliga,31 years old (31-05-1993),"1,79m",Spain,"Midfielder (Centre, Left, Right)",Central Midfield,right,14(8),1095.0,-,2,3,-,87.3,0.8,-,6.42,"Jun 30, 2025",€1.00m
327,Jon Guridi,Deportivo Alavés,Laliga,30 years old (28-02-1995),"1,79m",Spain,Midfielder (Centre),Central Midfield,left,22(6),1746.0,3,1,6,-,76.9,1.4,-,6.42,"Jun 30, 2026",€3.00m
328,Aridane Hernández,Rayo Vallecano,Laliga,36 years old (23-03-1989),"1,88m",Spain,Defender (Centre),Centre-Back,right,7(3),664.0,-,-,1,-,87,2.3,-,6.42,"Jun 30, 2025",€400k
329,Carlos Domínguez,Celta de Vigo,Laliga,24 years old (11-02-2001),"1,87m",Spain,Defender (Centre),Centre-Back,left,10(5),906.0,-,-,1,-,87.3,1.7,-,6.42,"Jun 30, 2026",€2.50m
330,Justin Smith,RCD Espanyol Barcelona,Laliga,22 years old (04-02-2003),"1,89m",France,Midfielder,Central Midfield,right,3(2),210.0,-,-,-,-,67.8,0.6,-,6.42,"Jun 30, 2026",€300k
331,Anuar Tuhami,Real Valladolid CF,Laliga,30 years old (15-01-1995),"1,73m",Spain,"Attacking Midfielder (Centre, Left, Right)",Right Winger,right,17(4),1441.0,2,-,6,-,83.5,1,1,6.42,"Jun 30, 2025",€900k
332,Arthur,Girona FC,Laliga,28 years old (12-08-1996),"1,72m",Brazil,Defensive Midfielder (C),Defensive Midfield,right,6(4),569.0,-,-,2,-,95.1,-,-,6.41,"Jun 30, 2025",€5.00m
333,Óscar Valentín,Rayo Vallecano,Laliga,30 years old (20-08-1994),"1,77m",Spain,Defensive Midfielder (C),Central Midfield,right,17(14),1637.0,-,-,3,-,83.1,0.9,-,6.41,"Jun 30, 2027",€3.50m
334,Bertug Yildirim,Getafe CF,Laliga,22 years old (12-07-2002),191cm,Turkey,Forward,,,13(5),979.0,1,-,7,-,55.3,3.6,-,6.41,,
335,Javi Hernández,CD Leganés,Laliga,26 years old (02-05-1998),"1,80m",Spain,"Defender (Centre, Left)",Left-Back,left,23(4),2031.0,-,1,4,-,76.1,0.7,1,6.41,"Jun 30, 2027",€2.00m
336,Cenk Özkacar,Real Valladolid CF,Laliga,24 years old (06-10-2000),"1,90m",Turkey,"Defender (Centre, Left)",Centre-Back,left,4(2),351.0,-,-,-,-,83.3,1,-,6.41,"Jun 30, 2025",€1.50m
337,Daley Sinkgraven,Fortuna Sittard,Laliga,29 years old (04-07-1995),179cm,Netherlands,"Defender (Left), Midfielder (Centre, Left)",,,1(1),91.0,-,-,-,-,78.9,0.5,-,6.41,,
338,Javi Sánchez,Real Valladolid CF,Laliga,28 years old (14-03-1997),"1,89m",Spain,Defender (Centre),Centre-Back,right,25,2033.0,2,-,6,-,87.8,1.4,-,6.41,"Jun 30, 2026",€1.80m
339,Facundo Garcés,Deportivo Alavés,Laliga,25 years old (05-09-1999),"1,89m",Argentina,Defender (Centre),Centre-Back,right,2(3),226.0,-,-,-,-,81.5,1.6,-,6.4,"Jun 30, 2028",€1.20m
340,Javi López,Real Sociedad,Laliga,23 years old (25-03-2002),"1,83m",Spain,Defender (Left),Left-Back,left,19(7),1755.0,-,-,4,-,83.6,0.4,-,6.4,"Jun 30, 2030",€7.50m
341,Franco Cervi,Celta de Vigo,Laliga,30 years old (26-05-1994),"1,66m",Argentina,"Defender (Left), Midfielder (Centre, Left, Right)",Left Winger,left,4(2),260.0,-,-,1,-,66.4,0.7,1,6.4,"Jun 30, 2026",€900k
342,Manu Sánchez,Deportivo Alavés,Laliga,24 years old (24-08-2000),"1,71m",Spain,"Defender (Left), Midfielder (Left)",Left-Back,left,25(3),2209.0,1,-,6,1,72.8,0.3,1,6.4,"Jun 30, 2025",€6.00m
343,Williot Swedberg,Celta de Vigo,Laliga,21 years old (01-02-2004),"1,87m",Sweden,Attacking Midfielder (Left),Left Winger,right,13(14),1147.0,3,3,1,-,75.3,0.3,1,6.4,"Jun 30, 2027",€5.00m
344,Bojan Miovski,Girona FC,Laliga,25 years old (24-06-1999),"1,89m",Macedonia,Forward,Centre-Forward,left,12(3),858.0,2,1,-,-,77.1,0.9,-,6.4,"Jun 30, 2028",€3.00m
345,Luis Pérez,Real Valladolid CF,Laliga,30 years old (04-02-1995),"1,73m",Spain,"Defender (Right), Midfielder (Right)",Right-Back,right,27(1),2423.0,-,-,2,-,80,0.6,1,6.4,"Jun 30, 2025",€1.50m
346,Arnaut Danjuma,Girona FC,Laliga,28 years old (31-01-1997),"1,78m",Netherlands,"Attacking Midfielder (Left), Forward",Left Winger,right,15(8),1313.0,2,-,2,-,82,-,-,6.4,"Jun 30, 2025",€5.00m
347,Hugo Sotelo,Celta de Vigo,Laliga,21 years old (19-12-2003),"1,80m",Spain,Midfielder (Centre),Central Midfield,right,14(7),1182.0,-,-,4,-,88.3,0.1,-,6.4,"Jun 30, 2028",€5.00m
348,Mikel Vesga,Athletic Bilbao,Laliga,32 years old (08-04-1993),"1,91m",Spain,Defensive Midfielder (C),Defensive Midfield,left,9(12),860.0,-,-,1,-,82.4,0.9,-,6.39,"Jun 30, 2027",€3.00m
349,Héctor Fort,FC Barcelona,Laliga,18 years old (02-08-2006),"1,85m",Spain,Defender (Right),Right-Back,right,4(9),447.0,-,-,2,-,91.8,0.2,-,6.39,"Jun 30, 2026",€10.00m
350,Manu Fuster,UD Las Palmas,Laliga,27 years old (22-10-1997),"1,69m",,Midfielder,Left Winger,right,6(17),751.0,2,1,2,-,85.3,0.1,-,6.39,"Jun 30, 2028",€1.50m
351,Assane Diao,Como 1907,Laliga,19 years old (07-09-2005),185cm,,"Attacking Midfielder (Left, Right)",,,2(8),271.0,1,2,-,-,75,0.8,-,6.39,,
352,Reinildo,Atlético de Madrid,Laliga,31 years old (21-01-1994),"1,80m",Mozambique,"Defender (Centre, Left), Midfielder (Left)",Left-Back,left,10(9),936.0,-,-,4,-,84,0.5,-,6.39,"Jun 30, 2025",€8.00m
353,Antoniu Roca,RCD Espanyol Barcelona,Laliga,22 years old (05-09-2002),"1,80m",Spain,Attacking Midfielder (Right),Right Winger,right,10(12),816.0,-,1,3,-,74.7,0.3,-,6.39,"Jun 30, 2026",€1.50m
354,Yoel Lago,Celta de Vigo,Laliga,21 years old (25-03-2004),"1,85m",Spain,Defender,Centre-Back,right,4,301.0,-,1,-,-,93.1,0.5,-,6.39,"Jun 30, 2027",€200k
355,José Gragera,RCD Espanyol Barcelona,Laliga,24 years old (14-05-2000),"1,86m",Spain,Defensive Midfielder (C),Central Midfield,right,7(3),572.0,-,-,-,-,88,1.1,-,6.39,"Jun 30, 2028",€2.00m
356,Jon Pacheco,Real Sociedad,Laliga,24 years old (08-01-2001),"1,84m",Spain,Defender (Centre),Centre-Back,left,8(5),764.0,-,-,3,-,83,1.5,-,6.38,"Jun 30, 2030",€7.50m
357,Ferland Mendy,Real Madrid,Laliga,29 years old (08-06-1995),"1,80m",France,"Defender (Left), Midfielder (Left)",Left-Back,left,12(2),1008.0,-,1,1,1,94.3,0.3,-,6.38,"Jun 30, 2028",€18.00m
358,Gerard Martín,FC Barcelona,Laliga,23 years old (26-02-2002),"1,86m",Spain,Defender (Left),Left-Back,left,7(16),785.0,1,2,2,-,85,0.4,-,6.38,"Jun 30, 2028",€7.50m
359,Adrián,Real Betis Balompié,Laliga,38 years old (03-01-1987),"1,90m",Spain,Goalkeeper,Goalkeeper,right,16,1262.0,-,-,3,-,71.2,0.3,-,6.38,"Jun 30, 2026",€500k
360,Rodrigo Riquelme,Atlético de Madrid,Laliga,25 years old (02-04-2000),"1,74m",Spain,"Defender (Left), Midfielder (Centre, Left)",Left Winger,right,4(12),509.0,-,1,-,-,87.2,0.2,-,6.38,"Jun 30, 2028",€18.00m
