,Player,Club,League,Age,Height_all,National,Positions,Main_position,Foot,Apps,Mins,Goals,Assists,Yel,Red,PS%,AerialsWon,MotM,Rating,Contract,Market_Value
227,Lukas Klostermann,RB Leipzig,Bundesliga,28 years old (03-06-1996),"1,89m",Germany,"Defender (Centre, Left, Right), Midfielder (Right)",Centre-Back,right,18(8),1655.0,-,-,4,-,89.7,0.7,-,6.53,"Jun 30, 2028",€8.00m
228,Issa Kaboré,SV Werder Bremen,Bundesliga,23 years old (12-05-2001),"1,80m",Burkina Faso,"Defender (Right), Midfielder (Right)",Right-Back,right,3(6),307.0,-,1,-,-,85,0.7,-,6.53,"Jun 30, 2025",€6.00m
229,Amadou Haidara,RB Leipzig,Bundesliga,27 years old (31-01-1998),"1,78m",Mali,"Midfielder (Centre, Left, Right)",Central Midfield,right,15(12),1256.0,-,1,7,-,81.3,1.1,-,6.53,"Jun 30, 2026",€20.00m
230,Manuel Neuer,Bayern Munich,Bundesliga,39 years old (27-03-1986),"1,93m",Germany,Goalkeeper,Goalkeeper,right,20,1800.0,-,-,-,-,85.3,0.3,-,6.52,"Jun 30, 2026",€4.00m
231,Emiliano Buendía,Bayer 04 Leverkusen,Bundesliga,28 years old (25-12-1996),"1,72m",Argentina,"Midfielder (Centre, Left, Right), Forward",Attacking Midfield,right,2(7),195.0,2,-,-,-,80.3,0.3,1,6.52,"Jun 30, 2025",€18.00m
232,Salih Özcan,Borussia Dortmund,Bundesliga,27 years old (11-01-1998),"1,83m",Turkey,Midfielder (Centre),Defensive Midfield,right,3(7),379.0,-,-,-,-,78.3,1.5,-,6.52,"Jun 30, 2026",€5.00m
233,Maximilian Wittek,VfL Bochum,Bundesliga,29 years old (21-08-1995),"1,73m",Germany,"Defender (Centre, Left), Midfielder (Left, Right)",Left-Back,left,29(1),2401.0,-,-,7,-,72.4,0.7,-,6.52,"Jun 30, 2026",€2.00m
234,Kevin Akpoguma,TSG 1899 Hoffenheim,Bundesliga,30 years old (19-04-1995),"1,92m",Germany,"Defender (Centre, Right), Midfielder (Right)",Centre-Back,right,21(8),2035.0,-,-,3,-,88.4,1.5,1,6.52,"Jun 30, 2026",€2.50m
235,Giorgos Masouras,VfL Bochum,Bundesliga,31 years old (01-01-1994),"1,84m",Greece,"Attacking Midfielder (Left, Right), Forward",Left Winger,right,9(2),774.0,2,-,-,-,75.9,1.5,1,6.52,"Jun 30, 2025",€3.20m
236,Lukás Hrádecky,Bayer 04 Leverkusen,Bundesliga,35 years old (24-11-1989),"1,92m",Finland,Goalkeeper,Goalkeeper,right,27,2430.0,-,-,1,-,72.9,-,1,6.52,"Jun 30, 2026",€2.00m
237,Christoph Baumgartner,RB Leipzig,Bundesliga,25 years old (01-08-1999),"1,80m",Austria,"Attacking Midfielder (Centre, Left, Right), Forward",Attacking Midfield,right,17(12),1515.0,2,1,5,-,70.3,1.4,-,6.51,"Jun 30, 2028",€15.00m
238,Benedikt Pichler,Holstein Kiel,Bundesliga,27 years old (20-07-1997),"1,88m",Austria,Forward,Centre-Forward,right,7(10),768.0,1,2,1,-,65.8,2.5,-,6.51,"Jun 30, 2027",€2.00m
239,Tom Rothe,1.FC Union Berlin,Bundesliga,20 years old (29-10-2004),"1,93m",Germany,"Defender (Left), Midfielder (Left)",Left-Back,left,16(7),1430.0,2,2,4,1,69.6,1.5,1,6.51,-,€10.00m
240,Thomas Müller,Bayern Munich,Bundesliga,35 years old (13-09-1989),"1,85m",Germany,"Midfielder (Centre, Left, Right), Forward",Second Striker,right,9(18),1012.0,1,4,3,-,79.2,0.6,-,6.51,"Jul 31, 2025",€6.00m
241,Nathan Ngoumou,Borussia Mönchengladbach,Bundesliga,25 years old (14-03-2000),"1,85m",France,"Attacking Midfielder (Left, Right)",Right Winger,right,9(10),828.0,2,1,-,-,77.8,0.5,1,6.51,"Jun 30, 2027",€4.00m
242,Christian Günter,SC Freiburg,Bundesliga,32 years old (28-02-1993),"1,84m",Germany,"Defender (Left), Midfielder (Left)",Left-Back,left,27,2294.0,2,2,-,-,78.4,0.3,-,6.5,-,€4.00m
243,El Chadaille Bitshiabu,RB Leipzig,Bundesliga,19 years old (16-05-2005),"1,96m",France,Defender (Centre),Centre-Back,left,11(8),949.0,-,-,2,1,84.7,1,-,6.5,"Jun 30, 2028",€12.00m
244,Sebastiaan Bornauw,VfL Wolfsburg,Bundesliga,26 years old (22-03-1999),"1,91m",Belgium,Defender (Centre),Centre-Back,right,8(6),783.0,2,1,2,-,82,2.5,-,6.5,"Jun 30, 2026",€7.00m
245,Anthony Jung,SV Werder Bremen,Bundesliga,33 years old (03-11-1991),"1,86m",Germany,"Defender (Centre, Left), Midfielder (Left)",Centre-Back,left,20(7),1893.0,-,-,1,-,89.7,1.3,-,6.49,"Jun 30, 2025",€1.00m
246,Sacha Boey,Bayern Munich,Bundesliga,24 years old (13-09-2000),"1,78m",France,Defender (Right),Right-Back,right,5(6),510.0,-,1,1,-,94.1,0.5,-,6.49,"Jun 30, 2028",€18.00m
247,Tymoteusz Puchacz,Plymouth,Bundesliga,26 years old (23-01-1999),180cm,Poland,"Defender (Left), Midfielder (Left)",,,5(5),396.0,-,1,-,-,80,0.4,-,6.49,,
248,Amine Adli,Bayer 04 Leverkusen,Bundesliga,24 years old (10-05-2000),"1,80m",Morocco,"Attacking Midfielder (Centre, Left, Right), Forward",Left Winger,left,5(12),622.0,2,-,2,-,81.9,1.1,-,6.49,"Jun 30, 2028",€22.00m
249,Jonas Urbig,Bayern Munich,Bundesliga,21 years old (08-08-2003),"1,89m",Germany,Goalkeeper,Goalkeeper,both,7,630.0,-,-,-,-,78.5,0.3,-,6.49,"Jun 30, 2029",€8.00m
250,Erhan Masovic,VfL Bochum,Bundesliga,26 years old (22-11-1998),"1,89m",Serbia,"Defender (Centre), Defensive Midfielder (C)",Centre-Back,both,10(5),907.0,1,1,2,-,83.5,1.5,-,6.48,"Jun 30, 2026",€3.00m
251,Ramon Hendriks,VfB Stuttgart,Bundesliga,23 years old (18-07-2001),"1,89m",Netherlands,"Defender (Centre, Left)",Left-Back,left,9(14),1052.0,-,1,3,-,86.6,1.2,-,6.47,"Jun 30, 2028",€5.00m
252,Niklas Dorsch,1.FC Heidenheim 1846,Bundesliga,27 years old (15-01-1998),"1,78m",Germany,Midfielder (Centre),Defensive Midfield,right,17(3),1224.0,2,2,5,1,85.3,0.4,-,6.47,"Jun 30, 2028",€3.50m
253,Wooyeong Jeong,1.FC Union Berlin,Bundesliga,25 years old (20-09-1999),"1,79m",South Korea,"Attacking Midfielder (Centre, Right), Forward",Attacking Midfield,right,17(6),1272.0,3,2,2,-,79.6,0.7,-,6.47,"Jun 30, 2025",€4.00m
254,Nicolas Höfler,SC Freiburg,Bundesliga,35 years old (09-03-1990),"1,81m",Germany,"Defender (Centre), Defensive Midfielder (C)",Defensive Midfield,right,7(12),783.0,-,-,3,-,87.1,1.5,-,6.47,-,€700k
255,Omar Traoré,1.FC Heidenheim 1846,Bundesliga,27 years old (04-02-1998),"1,87m",Germany,"Defender (Right), Midfielder (Right)",Right-Back,right,27,2359.0,-,1,5,-,72.5,0.5,-,6.47,"Jun 30, 2026",€4.00m
256,Mahmoud Dahoud,Eintracht Frankfurt,Bundesliga,29 years old (01-01-1996),"1,78m",Germany,Midfielder (Centre),Central Midfield,right,3(6),362.0,1,1,2,-,86.8,0.1,-,6.47,"Jun 30, 2026",€5.00m
257,Lars Ritzka,FC St. Pauli,Bundesliga,26 years old (07-05-1998),"1,85m",Germany,"Defender (Left), Midfielder (Left)",Left-Back,left,10(9),781.0,1,-,1,-,73,0.2,-,6.46,-,€900k
258,Tim Siersleben,1.FC Heidenheim 1846,Bundesliga,25 years old (09-03-2000),"1,87m",Germany,Defender (Centre),Centre-Back,left,11(2),915.0,-,-,4,-,80.9,1.2,-,6.46,"Jun 30, 2026",€1.50m
259,Gregor Kobel,Borussia Dortmund,Bundesliga,27 years old (06-12-1997),"1,96m",Switzerland,Goalkeeper,Goalkeeper,right,29,2610.0,-,-,1,-,77.8,0.2,1,6.46,"Jun 30, 2028",€40.00m
260,Marvin Friedrich,Borussia Mönchengladbach,Bundesliga,29 years old (13-12-1995),"1,93m",Germany,Defender (Centre),Centre-Back,right,9(13),980.0,-,1,-,-,88.5,1.5,1,6.46,"Jun 30, 2026",€3.50m
261,Lutsharel Geertruida,RB Leipzig,Bundesliga,24 years old (18-07-2000),"1,84m",Netherlands,"Defender (Centre, Left, Right), Defensive Midfielder (C)",Right-Back,right,16(6),1464.0,1,-,3,-,88.9,0.5,-,6.46,"Jun 30, 2029",€27.00m
262,Robin Gosens,ACF Fiorentina,Bundesliga,30 years old (05-07-1994),183cm,Germany,"Defender (Left), Midfielder (Centre, Left)",,,1,90.0,-,-,1,-,58.1,7,-,6.46,,
263,Kilian Fischer,VfL Wolfsburg,Bundesliga,24 years old (12-10-2000),"1,82m",Germany,"Defender (Centre, Right), Midfielder (Right)",Right-Back,both,27(3),2174.0,1,-,6,-,80.8,0.7,-,6.46,"Jun 30, 2027",€6.00m
264,El Bilal Touré,VfB Stuttgart,Bundesliga,23 years old (03-10-2001),"1,85m",Mali,Forward,Centre-Forward,both,3(9),351.0,2,1,-,-,79.8,1.6,1,6.46,"Jun 30, 2025",€17.00m
265,Fabian Rieder,VfB Stuttgart,Bundesliga,23 years old (16-02-2002),"1,79m",Switzerland,"Attacking Midfielder (Centre, Right)",Right Winger,left,8(13),867.0,1,3,1,-,75.6,0.2,-,6.46,"Jun 30, 2025",€7.00m
266,Max Geschwill,Holstein Kiel,Bundesliga,23 years old (07-07-2001),"1,85m",Germany,Defender (Centre),Centre-Back,left,13(5),1239.0,1,2,2,-,77.9,0.8,1,6.45,-,€1.50m
267,Lasse Rosenboom,Holstein Kiel,Bundesliga,23 years old (19-01-2002),"1,90m",Germany,Midfielder (Right),Right-Back,right,18(5),1498.0,1,2,3,-,63.8,1.2,-,6.45,-,€1.00m
268,Lennard Maloney,1.FSV Mainz 05,Bundesliga,25 years old (08-10-1999),"1,88m",USA,"Defender (Centre), Defensive Midfielder (C)",Defensive Midfield,right,10(1),765.0,-,-,1,-,72.1,1.5,-,6.45,"Jun 30, 2028",€5.00m
269,Alexander Meyer,Borussia Dortmund,Bundesliga,34 years old (13-04-1991),"1,95m",Germany,Goalkeeper,Goalkeeper,right,2,180.0,-,-,-,-,63.7,-,-,6.45,"Jun 30, 2026",€800k
270,Patrick Osterhage,SC Freiburg,Bundesliga,25 years old (01-02-2000),"1,86m",Germany,Defensive Midfielder (C),Central Midfield,left,25(3),2095.0,1,-,4,1,85.4,1,-,6.45,-,€8.50m
271,Armin Gigovic,Holstein Kiel,Bundesliga,23 years old (06-04-2002),"1,87m",Sweden,Attacking Midfielder (Centre),Central Midfield,right,21(7),1709.0,5,1,4,-,79.7,0.5,-,6.45,-,€3.00m
272,Alexander Nübel,VfB Stuttgart,Bundesliga,28 years old (30-09-1996),"1,93m",Germany,Goalkeeper,Goalkeeper,right,31,2790.0,-,1,-,-,73.4,0.1,-,6.44,"Jun 30, 2026",€12.00m
273,Josha Vagnoman,VfB Stuttgart,Bundesliga,24 years old (11-12-2000),"1,90m",Germany,"Defender (Left, Right), Midfielder (Right)",Right-Back,right,18(5),1705.0,1,1,4,-,81.7,0.9,-,6.44,"Jun 30, 2026",€12.00m
274,Gerrit Holtmann,VfL Bochum,Bundesliga,30 years old (25-03-1995),"1,85m",Germany,"Defender (Left), Midfielder (Left, Right)",Left Winger,left,12(9),1083.0,1,1,2,-,78.9,0.4,-,6.44,"Jun 30, 2025",€700k
275,Bence Dárdai,VfL Wolfsburg,Bundesliga,19 years old (24-01-2006),"1,89m",Germany,Midfielder (Centre),Attacking Midfield,right,15(4),1208.0,1,1,-,-,81.8,0.6,-,6.44,-,€9.00m
276,Carlo Boukhalfa,FC St. Pauli,Bundesliga,25 years old (03-05-1999),"1,86m",Germany,Attacking Midfielder (Centre),Central Midfield,left,16(6),1397.0,2,-,-,-,70.7,1.1,1,6.43,"Jun 30, 2025",€1.00m
277,Donyell Malen,Aston Villa,Bundesliga,26 years old (19-01-1999),176cm,Netherlands,"Attacking Midfielder (Centre, Left, Right), Forward",,,6(8),611.0,3,-,1,-,75.4,0.1,-,6.43,,
278,João Palhinha,Bayern Munich,Bundesliga,29 years old (09-07-1995),"1,90m",Portugal,Defensive Midfielder (C),Defensive Midfield,right,6(9),658.0,-,-,2,1,93,1.3,-,6.43,"Jun 30, 2028",€40.00m
279,Henri Koudossou,FC Augsburg,Bundesliga,25 years old (03-09-1999),"1,80m",Germany,Defender,Right-Back,both,4(15),667.0,-,-,1,-,82.1,0.4,-,6.43,"Jun 30, 2026",€1.50m
280,Junior Dina Ebimbe,Eintracht Frankfurt,Bundesliga,24 years old (21-11-2000),"1,84m",France,"Midfielder (Centre, Left, Right)",Right Midfield,right,3(4),291.0,-,1,-,-,66.7,1.3,-,6.43,"Jun 30, 2027",€7.00m
281,Jakub Kaminski,VfL Wolfsburg,Bundesliga,22 years old (05-06-2002),"1,79m",Poland,"Midfielder (Left, Right)",Left Winger,right,10(10),989.0,-,2,2,-,75.4,0.3,-,6.43,"Jun 30, 2027",€6.00m
282,Derrick Köhn,SV Werder Bremen,Bundesliga,26 years old (04-02-1999),"1,80m",Germany,"Defender (Centre, Left), Midfielder (Left)",Left-Back,left,14(10),1317.0,2,2,2,-,83.8,0.4,-,6.43,"Jun 30, 2025",€6.00m
283,Michael Zetterer,SV Werder Bremen,Bundesliga,29 years old (12-07-1995),"1,87m",Germany,Goalkeeper,Goalkeeper,both,31,2790.0,-,-,2,-,75.7,0.3,3,6.43,"Jun 30, 2027",€4.50m
284,Eren Dinkçi,SC Freiburg,Bundesliga,23 years old (13-12-2001),"1,88m",Turkey,"Attacking Midfielder (Centre, Left, Right)",Right Winger,right,13(10),1198.0,-,3,1,-,78,0.3,-,6.43,-,€12.00m
285,Noahkai Banks,FC Augsburg,Bundesliga,18 years old (01-12-2006),"1,93m",USA,Defender,Centre-Back,right,2(6),275.0,-,-,2,-,94.4,1,-,6.43,"Jun 30, 2027",€6.00m
286,Maxim Leitsch,1.FSV Mainz 05,Bundesliga,26 years old (18-05-1998),"1,89m",Germany,Defender (Centre),Centre-Back,left,6(8),670.0,1,-,2,-,79.5,1.4,-,6.43,"Jun 30, 2026",€2.00m
287,Lucas Tousart,1.FC Union Berlin,Bundesliga,28 years old (29-04-1997),"1,84m",France,Defensive Midfielder (C),Defensive Midfield,right,6(8),532.0,-,1,2,-,66.2,1.4,-,6.43,-,€4.00m
288,Anrie Chase,VfB Stuttgart,Bundesliga,21 years old (24-03-2004),"1,88m",,Defender (Centre),Centre-Back,right,7(5),729.0,-,-,1,-,92,1.4,-,6.43,-,€4.00m
289,Martin Terrier,Bayer 04 Leverkusen,Bundesliga,28 years old (04-03-1997),"1,84m",France,"Attacking Midfielder (Centre, Left), Forward",Left Winger,right,7(8),584.0,2,1,1,-,84.2,0.7,-,6.43,"Jun 30, 2029",€17.00m
290,Maarten Vandevoordt,RB Leipzig,Bundesliga,23 years old (26-02-2002),"1,92m",Belgium,Goalkeeper,Goalkeeper,right,3(2),338.0,-,-,-,-,76.9,0.2,-,6.43,"Jun 30, 2029",€8.00m
291,Finn Jeltsch,VfB Stuttgart,Bundesliga,18 years old (17-07-2006),"1,88m",,Defender (Centre),Centre-Back,right,7(2),648.0,-,-,2,-,92.5,0.9,-,6.43,"Jun 30, 2030",€12.00m
292,Lovro Majer,VfL Wolfsburg,Bundesliga,27 years old (17-01-1998),"1,78m",Croatia,"Attacking Midfielder (Centre, Right)",Attacking Midfield,left,2(4),164.0,2,-,1,-,68.8,0.3,-,6.42,"Jun 30, 2028",€20.00m
293,Jacob Bruun Larsen,VfB Stuttgart,Bundesliga,26 years old (19-09-1998),"1,83m",Denmark,"Attacking Midfielder (Centre, Left, Right), Forward",Left Winger,right,3(9),393.0,2,2,-,-,81.3,0.4,-,6.42,"Jun 30, 2027",€6.00m
294,Niels Nkounkou,Eintracht Frankfurt,Bundesliga,24 years old (01-11-2000),"1,80m",France,"Defender (Left), Midfielder (Left)",Left-Back,left,4(7),374.0,-,-,1,-,72.7,0.2,-,6.42,"Jun 30, 2028",€5.00m
295,Lukas Ullrich,Borussia Mönchengladbach,Bundesliga,21 years old (16-03-2004),"1,80m",,Defender (Left),Left-Back,left,21(2),1657.0,1,2,4,-,76.3,0.5,-,6.42,"Jun 30, 2027",€8.00m
296,Haris Tabakovic,TSG 1899 Hoffenheim,Bundesliga,30 years old (20-06-1994),"1,94m",Switzerland,Forward,Centre-Forward,right,6(14),779.0,2,1,-,-,65.6,2.1,-,6.42,"Jun 30, 2027",€3.00m
297,Elvis Rexhbeçaj,FC Augsburg,Bundesliga,27 years old (01-11-1997),"1,82m",Germany,Midfielder (Centre),Central Midfield,left,22(2),1765.0,1,1,8,-,77.2,0.5,-,6.42,"Jun 30, 2026",€3.50m
298,Andreas Hanche-Olsen,1.FSV Mainz 05,Bundesliga,28 years old (17-01-1997),"1,85m",Norway,"Defender (Centre, Right)",Centre-Back,right,9(10),1009.0,1,1,1,1,81.4,1.8,-,6.42,"Jun 30, 2026",€6.00m
299,Jordan Siebatcheu,Stade Reims,Bundesliga,29 years old (26-04-1996),190cm,USA,Forward,,,10(8),909.0,-,1,2,-,69.3,2.4,-,6.42,,
300,Elias Saad,FC St. Pauli,Bundesliga,25 years old (27-12-1999),"1,85m",Germany,"Attacking Midfielder (Centre, Left)",Left Winger,right,10(8),903.0,3,2,1,-,79.9,0.4,1,6.41,-,€4.00m
301,Felix Passlack,VfL Bochum,Bundesliga,26 years old (29-05-1998),"1,70m",Germany,"Defender (Left, Right), Midfielder (Centre, Right)",Right-Back,right,27(1),2090.0,1,4,4,-,71.9,0.3,-,6.41,"Jun 30, 2025",€2.50m
302,Marcel Sabitzer,Borussia Dortmund,Bundesliga,31 years old (17-03-1994),"1,78m",Austria,"Midfielder (Centre, Left, Right), Forward",Central Midfield,right,17(6),1473.0,-,-,2,-,85.6,0.8,-,6.41,"Jun 30, 2027",€10.00m
303,Yan Couto,Borussia Dortmund,Bundesliga,22 years old (03-06-2002),"1,68m",Brazil,"Defender (Right), Midfielder (Right)",Right-Back,right,8(12),885.0,-,-,5,-,85.2,0.1,-,6.41,"Jun 30, 2025",€20.00m
304,Luca Jaquez,VfB Stuttgart,Bundesliga,21 years old (02-06-2003),"1,87m",Switzerland,Defender,Centre-Back,right,1(1),87.0,-,-,-,-,86.4,0.5,-,6.41,"Jun 30, 2029",€6.00m
305,Arthur,Bayer 04 Leverkusen,Bundesliga,22 years old (17-03-2003),"1,74m",,"Defender (Right), Midfielder (Right)",Right-Back,right,7(10),634.0,-,1,-,-,82.5,0.5,-,6.4,"Jun 30, 2028",€7.00m
306,Justin Njinmah,SV Werder Bremen,Bundesliga,24 years old (15-11-2000),"1,85m",Germany,"Attacking Midfielder (Centre), Forward",Right Winger,right,10(13),924.0,3,2,1,-,65.1,0.7,-,6.4,"Jun 30, 2027",€7.00m
307,Jonas Föhrenbach,1.FC Heidenheim 1846,Bundesliga,29 years old (26-01-1996),"1,84m",Germany,"Defender (Centre, Left), Midfielder (Left)",Left-Back,left,22(4),1821.0,-,1,3,-,74.9,0.5,-,6.4,"Jun 30, 2027",€2.00m
308,Farès Chaïbi,Eintracht Frankfurt,Bundesliga,22 years old (28-11-2002),"1,83m",Algeria,"Attacking Midfielder (Centre, Left, Right), Forward",Attacking Midfield,right,9(14),908.0,1,1,2,-,74.6,0.6,-,6.4,"Jun 30, 2028",€9.00m
309,Oliver Burke,SV Werder Bremen,Bundesliga,28 years old (07-04-1997),"1,88m",Scotland,"Attacking Midfielder (Centre, Left, Right), Forward",Centre-Forward,right,7(16),730.0,5,-,4,-,60.6,1.5,1,6.4,"Jun 30, 2025",€1.80m
310,Johan Manzambi,SC Freiburg,Bundesliga,19 years old (14-10-2005),"1,82m",,Midfielder,Central Midfield,right,1(7),136.0,1,1,1,-,81.3,0.4,-,6.4,"Jun 30, 2028",€750k
311,Jonas Hofmann,Bayer 04 Leverkusen,Bundesliga,32 years old (14-07-1992),"1,76m",Germany,"Defender (Right), Midfielder (Centre, Left, Right), Forward",Attacking Midfield,right,3(6),275.0,1,1,1,-,89.9,-,-,6.4,"Jun 30, 2027",€3.00m
312,Paul Wanner,1.FC Heidenheim 1846,Bundesliga,19 years old (23-12-2005),"1,85m",Germany,"Attacking Midfielder (Centre, Right)",Attacking Midfield,left,18(9),1604.0,3,1,2,-,76.4,0.4,-,6.4,"Jun 30, 2025",€18.00m
313,Yorbe Vertessen,Salzburg,Bundesliga,24 years old (08-01-2001),176cm,Belgium,"Attacking Midfielder (Centre, Left), Forward",,,7(10),718.0,1,-,2,-,70.1,0.4,1,6.39,,
314,Jonah Kusi-Asare,Bayern Munich,Bundesliga,17 years old (04-07-2007),196cm,,Forward,,,0(1),2.0,-,-,-,-,100,1,-,6.39,,
315,Max Rosenfelder,SC Freiburg,Bundesliga,22 years old (10-02-2003),"1,86m",Germany,Defender (Centre),Centre-Back,right,10(12),1034.0,1,-,1,-,87.9,0.4,1,6.39,-,€4.00m
316,Marnon Busch,1.FC Heidenheim 1846,Bundesliga,30 years old (08-12-1994),"1,82m",Germany,"Defender (Right), Midfielder (Right)",Right-Back,right,14(7),1298.0,-,1,1,-,76.2,0.5,-,6.39,"Jun 30, 2027",€1.20m
317,Leonardo Bittencourt,SV Werder Bremen,Bundesliga,31 years old (19-12-1993),"1,71m",Germany,"Midfielder (Centre, Left, Right), Forward",Central Midfield,right,10(14),937.0,2,1,3,-,86.8,0.3,-,6.39,"Jun 30, 2026",€2.00m
318,Myron Boadu,VfL Bochum,Bundesliga,24 years old (14-01-2001),"1,81m",Netherlands,Forward,Centre-Forward,right,9(7),798.0,5,1,2,-,71.5,0.6,2,6.39,"Jun 30, 2025",€7.00m
319,Nediljko Labrovic,FC Augsburg,Bundesliga,25 years old (10-10-1999),"1,96m",Croatia,Goalkeeper,Goalkeeper,right,15,1350.0,-,-,-,-,65.6,0.5,-,6.38,"Jun 30, 2029",€3.00m
320,Marco Grüll,SV Werder Bremen,Bundesliga,26 years old (06-07-1998),"1,82m",,"Attacking Midfielder (Centre, Left), Forward",Left Winger,both,12(15),1082.0,6,1,1,-,79.9,0.2,1,6.38,-,€4.00m
321,Michael Gregoritsch,SC Freiburg,Bundesliga,31 years old (18-04-1994),"1,93m",Austria,"Attacking Midfielder (Centre, Right), Forward",Centre-Forward,left,5(14),616.0,2,1,2,-,64.5,1.6,-,6.38,-,€4.00m
322,Kevin Müller,1.FC Heidenheim 1846,Bundesliga,34 years old (15-03-1991),"1,90m",Germany,Goalkeeper,Goalkeeper,right,31,2790.0,-,-,-,-,71.8,0.3,-,6.38,"Jun 30, 2027",€1.00m
323,Luca Netz,Borussia Mönchengladbach,Bundesliga,21 years old (15-05-2003),"1,84m",Germany,"Defender (Left), Midfielder (Left)",Left-Back,left,8(15),952.0,-,2,2,-,81.2,0.5,-,6.38,"Jun 30, 2026",€7.00m
324,Danel Sinani,FC St. Pauli,Bundesliga,28 years old (05-04-1997),"1,85m",Luxembourg,"Attacking Midfielder (Centre, Right), Forward",Attacking Midfield,left,11(12),1009.0,2,1,2,-,77.1,0.3,1,6.37,-,€750k
325,Janik Haberer,1.FC Union Berlin,Bundesliga,31 years old (02-04-1994),"1,87m",Germany,"Midfielder (Centre, Left, Right), Forward",Central Midfield,right,18(7),1454.0,-,-,-,-,77.9,0.6,-,6.37,"Jun 30, 2027",€2.50m
326,Mathys Tel,Tottenham Hotspur,Bundesliga,20 years old (27-04-2005),183cm,France,"Attacking Midfielder (Left), Forward",,,2(6),253.0,-,1,-,-,86.6,0.1,-,6.36,,
327,Marko Ivezic,Holstein Kiel,Bundesliga,23 years old (02-12-2001),"1,91m",Serbia,"Defender (Centre), Defensive Midfielder (C)",Centre-Back,right,18(3),1583.0,-,-,5,-,86.1,1.5,-,6.36,"Jun 30, 2027",€2.50m
328,Johannes Eggestein,FC St. Pauli,Bundesliga,26 years old (08-05-1998),"1,83m",Germany,"Attacking Midfielder (Centre, Right), Forward",Centre-Forward,right,22(4),1842.0,3,4,3,-,78.1,1.1,1,6.36,"Jun 30, 2025",€3.00m
329,Maximilian Bauer,Kaiserslautern,Bundesliga,25 years old (09-02-2000),189cm,Germany,Defender (Centre),,,8(3),657.0,-,-,1,-,81.9,1.9,-,6.36,,
330,Timo Becker,Holstein Kiel,Bundesliga,28 years old (25-03-1997),"1,90m",Germany,"Defender (Centre, Right), Midfielder (Right)",Centre-Back,right,25(2),2135.0,-,2,2,-,78.5,1,-,6.36,"Jun 30, 2025",€2.00m
331,Giovanni Reyna,Borussia Dortmund,Bundesliga,22 years old (13-11-2002),"1,85m",USA,"Attacking Midfielder (Centre, Left, Right)",Attacking Midfield,right,3(12),331.0,2,-,3,-,82.2,0.5,-,6.35,"Jun 30, 2026",€10.00m
332,Andu Kelati,Holstein Kiel,Bundesliga,22 years old (13-08-2002),"1,81m",,Midfielder,Left Winger,right,2(6),287.0,1,1,-,1,79.5,-,-,6.35,"Jun 30, 2028",€800k
333,Jakov Medic,VfL Bochum,Bundesliga,26 years old (07-09-1998),"1,93m",Croatia,Defender (Centre),Centre-Back,right,16(5),1519.0,1,-,2,-,87.1,1.4,-,6.34,"Jun 30, 2025",€2.00m
334,Nelson Weiper,1.FSV Mainz 05,Bundesliga,20 years old (17-03-2005),"1,92m",Germany,Forward,Centre-Forward,right,7(13),690.0,3,1,2,-,69.2,1.6,-,6.34,"Jun 30, 2025",€6.00m
335,David Zec,Holstein Kiel,Bundesliga,25 years old (05-01-2000),"1,90m",Slovenia,Defender (Centre),Centre-Back,right,15,1230.0,1,-,4,-,88.9,1.5,-,6.34,"Jun 30, 2029",€2.50m
336,Mert Kömür,FC Augsburg,Bundesliga,19 years old (17-07-2005),"1,83m",Turkey,Midfielder,Attacking Midfield,both,2(15),456.0,2,1,1,-,75.5,0.6,-,6.34,"Jun 30, 2027",€5.00m
337,Stanley Nsoki,TSG 1899 Hoffenheim,Bundesliga,26 years old (09-04-1999),"1,84m",France,"Defender (Centre, Left)",Centre-Back,left,15(6),1220.0,-,-,3,1,86.1,1,-,6.33,"Jun 30, 2027",€2.50m
338,Dani de Wit,VfL Bochum,Bundesliga,27 years old (28-01-1998),"1,84m",Netherlands,"Attacking Midfielder (Centre, Right), Forward",Attacking Midfield,right,11(13),1086.0,2,-,1,-,72.6,1.7,-,6.33,"Jun 30, 2028",€3.00m
339,Oscar Højlund,Eintracht Frankfurt,Bundesliga,20 years old (04-01-2005),"1,87m",Denmark,Defensive Midfielder (C),Central Midfield,right,7(12),695.0,1,-,-,-,88.8,0.3,-,6.33,"Jun 30, 2029",€7.50m
340,Arthur Vermeeren,RB Leipzig,Bundesliga,20 years old (07-02-2005),"1,80m",Belgium,Defensive Midfielder (C),Defensive Midfield,right,16(9),1395.0,-,2,5,-,86.6,0.3,-,6.33,"Jun 30, 2025",€22.00m
341,Marco Komenda,Holstein Kiel,Bundesliga,28 years old (26-11-1996),"1,84m",Germany,"Defender (Centre, Left)",Centre-Back,left,17(2),1313.0,-,-,3,-,79.9,0.8,-,6.33,"Jun 30, 2026",€800k
342,Samuel Essende,FC Augsburg,Bundesliga,27 years old (23-01-1998),"1,93m",France,Forward,Centre-Forward,right,19(9),1573.0,7,2,4,1,65.5,2,1,6.33,"Jun 30, 2028",€4.50m
343,Kevin Paredes,VfL Wolfsburg,Bundesliga,21 years old (07-05-2003),"1,75m",USA,"Defender (Left), Midfielder (Left, Right)",Left Midfield,left,2,125.0,-,1,1,-,80.4,0.5,-,6.33,"Jun 30, 2026",€7.50m
